Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Clodoaldo Aparecido Moraes de Lima,Gesture phase segmentation using support vector machines,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961645015&doi=10.1016%2fj.eswa.2016.02.021&partnerID=40&md5=0c2c263570350ccc8474635de81fa5c5,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","An interaction between humans or between a human and a machine will be more effective if it is supported by gestures. In different levels of complexity, the communication system used in human interaction includes the use of gesture. In natural conversation, for instance, speakers use gestures for both to enhance the expressiveness of their speech and to support their own linguistic reasoning. The audience absorbs the content being transmitted also based on the speakers' gesticulation. Thus, an analysis of gestures should add value to the purpose of the interaction. One of the concerns in the analysis of gestures is the problem arising from the segmentation of phases of a gesture (rest position, preparation, stroke, hold and retraction), which, from the standpoint of Gesture Theory, may reveal information on prosody and semantics of what is being said in a discourse. Finding an automation solution to this problem involves enabling the development of theoretical and application areas that are based on the analysis of human behavior and on the interpretation and generation of natural language. In this study, the problem of gesture phase segmentation is modeled as a problem of classification, and then support vector machine is employed to design a model able to learn the patterns of gesture that are inherent to each phase. This work presents two main highlights. The first is to address the limitations of the segmentation approach through the study of its performance in different scenarios that represent the complexity of analyzing patterns of human behavior. In this study, we reached an F-score around 0.9 for rest position and around 0.8 for stroke and preparation as segmentation results in the best cases. Moreover, it was possible to investigate how classification models are influenced by human behavior. The second highlight refers to the conduction of an analysis by considering the standpoint of specialists concerned with gesture phase segmentation in the area of Linguistics and Psycholinguistics, through which we obtained impressive results. Thus, in regard to the suitability of our approach, it is a feasible means of supporting the development of the Gesture Theory as well as the Computational Linguistics and Human Machine Interaction fields. © 2016 Elsevier Ltd. All rights reserved.",Gesture analysis; Gesture phase segmentation; Machine learning; Support vector machine,Artificial intelligence; Behavioral research; Classification (of information); Computational linguistics; Learning systems; Linguistics; Social sciences; Support vector machines; Automation solutions; Classification models; Gesture analysis; Human interactions; Human machine interaction; Linguistic reasonings; Natural languages; Segmentation results; Semantics
Clodoaldo Aparecido Moraes de Lima,Classification of electromyography signals using relevance vector machines and fractal dimension,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932136825&doi=10.1007%2fs00521-015-1953-5&partnerID=40&md5=970740eb556af41eb82dfc025cfc2737,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","Surface electromyography (EMG) signals have been studied extensively in the last years aiming at the automatic classification of hand gestures and movements as well as the early identification of latent neuromuscular disorders. In this paper, we investigate the potentials of the conjoint use of relevance vector machines (RVM) and fractal dimension (FD) for automatically identifying EMG signals related to different classes of limb motion. The adoption of FD as the mechanism for feature extraction is justified by the fact that EMG signals usually show traces of self-similarity. In particular, four well-known FD estimation methods, namely box-counting, Higuchi’s, Katz’s and Sevcik’s methods, have been considered in this study. With respect to RVM, besides the standard formulation for binary classification, we also investigate the performance of two recently proposed variants, namely constructive mRVM and top-down mRVM, that deal specifically with multiclass problems. These classifiers operate solely over the features extracted by the FD estimation methods, and since the number of such features is relatively small, the efficiency of the classifier induction process is ensured. Results of experiments conducted on a publicly available dataset involving seven distinct types of limb motions are reported whereby we assess the performance of different configurations of the proposed RVM+FD approach. Overall, the results evidence that kernel machines equipped with the FD feature values can be useful for achieving good levels of classification performance. In particular, we have empirically observed that the features extracted by the Katz’s method is of better quality than the features generated by other methods. © 2015, The Natural Computing Applications Forum.",EMG signal classification; Feature extraction; Fractal dimension; Relevance vector machines,Classification (of information); Electromyography; Extraction; Feature extraction; Finite difference method; Fractal dimension; Fractals; Automatic classification; Binary classification; Classification performance; Electromyography signals; Emg signal classifications; Neuromuscular disorders; Relevance Vector Machine; Surface electromyography signals; Biomedical signal processing
Clodoaldo Aparecido Moraes de Lima,Face recognition using Support Vector Machine and multiscale directional image representation methods: A comparative study,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950970469&doi=10.1109%2fIJCNN.2015.7280699&partnerID=40&md5=26bb9504983abe20a01eac79083f6c04,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","In recent years, human identification based on face recognition has attracted the attention of the scientific community and the general public due to its wide range of applications. A face recognition system involves three important phases: face detection, feature extraction and classification (identification and/or verification). The robustness of face recognition could be improved by treating the variations in these stages. One of the main issues in design of face recognition system is how to extract discriminative facial features. A precise extraction of a representative feature set will improve the performance of a face recognition system. Various techniques have been used to represent images efficiently, of which the most well-known and widely applied are Wavelet, Contourlet, Shearlet and Curvelet Transform. Their ability to capture localized time-frequency information of image motivates their use for feature extraction. In this paper, we conduct a systematic empirical study on these transforms as feature extractors from face images. To further reduce the feature dimensionality, we adopt Principal Component Analysis and Linear Discriminant Analysis to select the most discriminative feature sets. The performance levels delivered by each transform are contrasted in terms of the accuracy measure computed over the outputs generated by the Support Vector Machine classifier (SVM). Experimental results conducted on a publicly available database are reported whereby we observe that the Curvelet Transform followed by the Wavelet Transform significantly outperform the others according to accuracy measure calculated over the SVM classifier. © 2015 IEEE.",Contourlet Transform; Curvelet Transform; Face Recognition; Shearlet Transform; Support Vector Machine; Wavelet Transform,Classification (of information); Discriminant analysis; Extraction; Feature extraction; Image enhancement; Image processing; Image retrieval; Principal component analysis; Support vector machines; Wavelet transforms; Contourlet transform; Curvelet transforms; Face recognition systems; Feature extraction and classification; Linear discriminant analysis; Shearlet transforms; Support vector machine classifiers; Time frequency information; Face recognition
Clodoaldo Aparecido Moraes de Lima,EEG signal classification for epilepsy diagnosis via optimum path forest - A systematic assessment,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897958180&doi=10.1016%2fj.neucom.2014.01.020&partnerID=40&md5=0e452791013154f65222e9f766f14756,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","Epilepsy refers to a set of chronic neurological syndromes characterized by transient and unexpected electrical disturbances of the brain. The detailed analysis of the electroencephalogram (EEG) is one of the most influential steps for the proper diagnosis of this disorder. This work presents a systematic performance evaluation of the recently introduced optimum path forest (OPF) classifier when coping with the task of epilepsy diagnosis directly through EEG signal analysis. For this purpose, we have made extensive use of a benchmark dataset composed of five classes, whose full discrimination is very hard to achieve. Four types of wavelet functions and three well-known filter methods were considered for the tasks of feature extraction and selection, respectively. Moreover, support vector machines configured with radial basis function (SVM-RBF) kernel, multilayer perceptron neural networks (ANN-MLP), and Bayesian classifiers were used for comparison in terms of effectiveness and efficiency. Overall, the results evidence the outperformance of the OPF classifier in both types of criteria. Indeed, the OPF classifier was usually extremely fast, with average training/testing times much lower than those required by SVM-RBF and ANN-MLP. Moreover, when configured with Coiflets as feature extractors, the performance scores achieved by the OPF classifier include 89.2% as average accuracy and sensitivity/specificity values higher than 80% for all five classes. © 2014 Elsevier B.V.",Bayesian; EEG signal classification; Multilayer perceptrons; Optimum path forest; Support vector machines; Wavelets,Electric loads; Feature extraction; Forestry; Multilayer neural networks; Neural networks; Neurology; Radial basis function networks; Support vector machines; Bayesian; EEG signal classification; Effectiveness and efficiencies; Electro-encephalogram (EEG); Feature extraction and selection; Multi-layer perceptron neural networks; Optimum-path forests; Wavelets; Electroencephalography; article; artificial neural network; Bayesian learning; classifier; electroencephalogram; empirical research; epilepsy; learning algorithm; optimum path forest; perceptron; predictive value; priority journal; radial based function; support vector machine; wavelet analysis; Forestry; Neural Networks; Neurology
Clodoaldo Aparecido Moraes de Lima,Assessing fractal dimension methods as feature extractors for EMG signal classification,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908220894&doi=10.1016%2fj.engappai.2014.07.009&partnerID=40&md5=ab61ce0926422f364d25635e6077e726,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","The study of electromyographic (EMG) signals has gained increased attention in the last decades since the proper analysis and processing of these signals can be instrumental for the diagnosis of neuromuscular diseases and the adaptive control of prosthetic devices. As a consequence, various pattern recognition approaches, consisting of different modules for feature extraction and classification of EMG signals, have been proposed. In this paper, we conduct a systematic empirical study on the use of Fractal Dimension (FD) estimation methods as feature extractors from EMG signals. The usage of FD as feature extraction mechanism is justified by the fact that EMG signals usually show traces of self-similarity and by the ability of FD to characterize and measure the complexity inherent to different types of muscle contraction. In total, eight different methods for calculating the FD of an EMG waveform are considered here, and their performance as feature extractors is comparatively assessed taking into account nine well-known classifiers of different types and complexities. Results of experiments conducted on a dataset involving seven distinct types of limb motions are reported whereby we could observe that the normalized version of the Katzs estimation method and the Hurst exponent significantly outperform the others according to a class separability measure and five well-known accuracy measures calculated over the induced classifiers. © 2014 Elsevier Ltd. All right sreserved.",EMG signal classification; Feature extraction; Fractal dimension,Fractal dimension; Emg signal classifications; Feature extractor; Fractal dimension method; Feature extraction
Clodoaldo Aparecido Moraes de Lima,Gesture unit segmentation using spatial-temporal information and Machine Learning,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923853806&partnerID=40&md5=ba63a06ec66edcca1bc2349860ca3085,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","Currently, automated gesture analysis is being widely used in different research areas, such as human-computer interaction or human-behavior analysis. With regard to the latter area in particular, gesture analysis is closely related to studies on human communication. Linguists and psycholinguists analyze gestures from several standpoints, and one of them is the analysis of gesture segments. The aim of this paper is to outline an approach to automate gesture unit segmentation, as a way of assisting linguistic studies. This objective was attained by employing a Machine Learning technique with the aid of a spatial-temporal data representation. Copyright © 2014, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,Artificial intelligence; Behavioral research; Learning systems; Linguistics; Gesture analysis; Human behavior analysis; Human communications; Machine learning techniques; Spatial temporals; Spatial-temporal data; Human computer interaction
Clodoaldo Aparecido Moraes de Lima,Gesture unit segmentation using support vector machines: Segmenting gestures from rest positions,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877998691&doi=10.1145%2f2480362.2480373&partnerID=40&md5=d26791d35ba9b386f566f8f0b78dddf0,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","Gesture analysis has been widely used for developing new methods of human-computer interaction. The advancement reached in the gesture analysis area is also motivating its application to automate tasks related to discourse analysis, such as the gesture phases segmentation task. In this paper, we present an initiative that aims at segmenting gestures, especially considering the ""units""- the larger grain involved in gesture phases segmentation. Thereunto, we have captured the gestures using a Xbox Kinect™ device, modeled the problem as a classification task, and applied Support Vector Machines. Moreover, aiming at taking advantage from the temporal aspects involved in the problem, we have used several types of data pre-processing in order to consider time domain and frequency domain features. Copyright 2013 ACM.",Gesture analysis; Gesture segmentation; Gesture unit; Support vector machine; Temporal modeling,Classification tasks; Data preprocessing; Discourse analysis; Frequency domains; Gesture analysis; Gesture segmentation; Gesture unit; Temporal modeling; Computation theory; Support vector machines
Clodoaldo Aparecido Moraes de Lima,A review on temporal reasoning using support vector machines,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868300007&doi=10.1109%2fTIME.2012.15&partnerID=40&md5=3814306af61b9bda22b1216ad6a256b7,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","Recently, Support Vector Machines have presented promissing results to various machine learning tasks, such as classification and regression. These good results have motivated its application to several complex problems, including temporal information analysis. In this context, some studies attempt to extract temporal features from data and submit these features in a vector representation to traditional Support Vector Machines. However, Support Vector Machines and its traditional variations do not consider temporal dependency among data. Thus, some approaches adapt Support Vector Machines internal mechanism in order to integrate some processing of temporal characteristics, attempting to make them able to interpret the temporal information inherent on data. This paper presents a review on studies covering this last approach for dealing with temporal information: incorporating temporal reasoning into Support Vector Machines and its variations. © 2012 IEEE.",Machine learning; Support vector machine; Temporal reasoning,Complex problems; Temporal characteristics; Temporal features; Temporal information; Temporal reasoning; Vector representations; Learning systems; Support vector machines
Clodoaldo Aparecido Moraes de Lima,Hybrid architecture for gesture recognition: Integrating fuzzy-connectionist and heuristic classifiers using fuzzy syntactical strategy,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865069403&doi=10.1109%2fIJCNN.2012.6252448&partnerID=40&md5=6dcb8ad972aed95616661b905be83619,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","This paper describes a hybrid architecture that provides automatic classification for a set of gestures. Such architecture combines fuzzy-connectionist, heuristic and syntactical pattern recognition approaches, and deals with gesture recognition based on primitives. The modeling with primitives allows the use of multiples classifiers in order to achieve high classification accuracy. The heuristic classifier and the fuzzy syntactical integrating strategy are described in this paper. The fuzzy-connectionist classifiers were discussed in previous works and they are now revisited just to present the set of parameters that solves the current proof of concept, in the scope of Brazilian Sign Language Manual Alphabet. The fuzzy syntactical strategy coupled with the modeling with primitives has improved the pattern recognition results, enabling the design of architecture for classification with high flexibility and scalability to development of applications in different signed communication contexts. The experimental results show that the proposed approach is valid and has promising application. © 2012 IEEE.",Fuzzy Syntactical Pattern Recognition; Fuzzy-Connectionist Pattern Recognition; Gesture Recognition; Hybrid Architecture; Multiple Classifiers,Automatic classification; Classification accuracy; High flexibility; Hybrid architectures; Multiple classifiers; Proof of concept; Sign language; Syntactical pattern recognition; Neural networks; Pattern recognition; Gesture recognition
Clodoaldo Aparecido Moraes de Lima,Kernel machines for epilepsy diagnosis via EEG signal classification: A comparative study,2011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052511414&doi=10.1016%2fj.artmed.2011.07.003&partnerID=40&md5=27b87a5facd3ad61e31b7cba5c10111a,"Universidade de São Paulo - Escola de Artes, Ciências e Humanidades","Objective: We carry out a systematic assessment on a suite of kernel-based learning machines while coping with the task of epilepsy diagnosis through automatic electroencephalogram (EEG) signal classification. Methods and materials: The kernel machines investigated include the standard support vector machine (SVM), the least squares SVM, the Lagrangian SVM, the smooth SVM, the proximal SVM, and the relevance vector machine. An extensive series of experiments was conducted on publicly available data, whose clinical EEG recordings were obtained from five normal subjects and five epileptic patients. The performance levels delivered by the different kernel machines are contrasted in terms of the criteria of predictive accuracy, sensitivity to the kernel function/parameter value, and sensitivity to the type of features extracted from the signal. For this purpose, 26 values for the kernel parameter (radius) of two well-known kernel functions (namely, Gaussian and exponential radial basis functions) were considered as well as 21 types of features extracted from the EEG signal, including statistical values derived from the discrete wavelet transform, Lyapunov exponents, and combinations thereof. Results: We first quantitatively assess the impact of the choice of the wavelet basis on the quality of the features extracted. Four wavelet basis functions were considered in this study. Then, we provide the average accuracy (i.e., cross-validation error) values delivered by 252 kernel machine configurations; in particular, 40%/35% of the best-calibrated models of the standard and least squares SVMs reached 100% accuracy rate for the two kernel functions considered. Moreover, we show the sensitivity profiles exhibited by a large sample of the configurations whereby one can visually inspect their levels of sensitiveness to the type of feature and to the kernel function/parameter value. Conclusions: Overall, the results evidence that all kernel machines are competitive in terms of accuracy, with the standard and least squares SVMs prevailing more consistently. Moreover, the choice of the kernel function and parameter value as well as the choice of the feature extractor are critical decisions to be taken, albeit the choice of the wavelet family seems not to be so relevant. Also, the statistical values calculated over the Lyapunov exponents were good sources of signal representation, but not as informative as their wavelet counterparts. Finally, a typical sensitivity profile has emerged among all types of machines, involving some regions of stability separated by zones of sharp variation, with some kernel parameter values clearly associated with better accuracy rates (zones of optimality). © 2011 Elsevier B.V.",EEG signal classification; Epilepsy; Feature extraction; Kernel machines,Accuracy rate; Comparative studies; Cross validation; EEG recording; EEG signal classification; EEG signals; Electroencephalogram signals; Epilepsy; Epileptic patients; Exponential radial basis; Feature extractor; Gaussians; Kernel function; Kernel machine; Kernel parameter; Kernel-based learning; Lagrangian; Least Square; Lyapunov exponent; Optimality; Parameter values; Performance level; Predictive accuracy; Relevance Vector Machine; Sensitivity profiles; Signal representations; Systematic assessment; Wavelet basis; Wavelet basis functions; Differential equations; Discrete wavelet transforms; Feature extraction; Least squares approximations; Lyapunov functions; Lyapunov methods; Radial basis function networks; Sensitivity analysis; Standards; Support vector machines; Electroencephalography; article; calibration; clinical article; controlled study; diagnostic accuracy; disease classification; electroencephalogram; epilepsy; human; kernel method; priority journal; quantitative analysis; sensitivity and specificity; support vector machine; validation process; Artificial Intelligence; Electroencephalography; Epilepsy; Humans; Sensitivity and Specificity; Support Vector Machines
