Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Fábio Kon,InterSCity: Addressing Future Internet research challenges for Smart Cities,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015184707&doi=10.1109%2fNOF.2016.7810114&partnerID=40&md5=d1f22c69130ca50afedfa7ba300fc5a3,Universidade de São Paulo - Departamento de Ciência da Computação,"The Future Internet will integrate large-scale systems constructed from the composition of thousands of distributed services, while interacting directly with the physical world via sensors and actuators, which compose the Internet of Things. This Future Internet will enable the realization of the Smart Cities vision, in which the urban infrastructure will be used to its fullest extent to offer a better quality of life for its citizens. Key to the efficient and effective realization of Smart Cities is the scientific and technological research covering the multiple layers that make up the Internet. This paper discusses the research challenges and initiatives related to Future Internet and Smart Cities in the scope of the InterSCity project. The challenges and initiatives are organized in three fronts: (1) Networking and High-Performance Distributed Computing; (2) Software Engineering for the Future Internet; and (3) Analysis and Mathematical Modeling for the Future Internet and Smart Cities. InterSCity aims at developing an integrated open-source platform containing all the major building blocks for the development of robust, integrated, sophisticated applications for the smart cities of the future. © 2016 IEEE.",Big Data; Future Internet; Internet of Things; Machine Learning; Mathematical Modeling; Smart Cities,Big data; Distributed computer systems; Internet of things; Large scale systems; Learning systems; Mathematical models; Open source software; Software engineering; Distributed service; Future internet; High-performance distributed computing; Open source platforms; Research challenges; Sensors and actuators; Technological researches; Urban infrastructure; Smart city
Fábio Kon,InterSCity: A scalable microservice-based open source platform for smart cities,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025439394&partnerID=40&md5=55358edc06019223fbce5925abc5b39d,Universidade de São Paulo - Departamento de Ciência da Computação,"Smart City technologies emerge as a potential solution to tackle common problems in large urban centers by using city resources efficiently and providing quality services for citizens. Despite the various advances in middleware technologies to support future smart cities, there are no universally accepted platforms yet. Most of the existing solutions do not provide the required flexibility to be shared across cities. Moreover, the extensive use and development of non-open-source software leads to interoperability issues and limits the collaboration among R&D groups. In this paper, we explore the use of a microservices architecture to address key practical challenges in smart city platforms. We present InterSCity, a microservice-based open source smart city platform that aims at supporting collaborative, novel smart city research, development, and deployment initiatives. We discuss how the microservice approach enables a flexible, extensible, and loosely coupled architecture and present experimental results demonstrating the scalability of the proposed platform. © 2017 by SCITEPRESS Science and Technology Publications, Lda. All Rights Reserved.",Microservices; Open source software; Scalability; Smart cities; Software platform,Middleware; Open source software; Open systems; Scalability; Software engineering; Loosely coupled architectures; Microservices; Middleware technology; Open source platforms; Open sources; Quality services; Software platforms; Urban centers; Smart city
Fábio Kon,Dynamic resource allocation using performance forecasting,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991716612&doi=10.1109%2fHPCSim.2016.7568311&partnerID=40&md5=8bcad2435ce577712d8aa077cf254139,Universidade de São Paulo - Departamento de Ciência da Computação,"To benefit from the performance gains and cost savings enabled by elasticity in cloud IaaS environments, effective automated mechanisms for scaling are essential. This automation requires monitoring system status and defining criteria to trigger allocation and deallocation of resources. While these criteria are usually based upon resource utilization, this may be inadequate due to the impossibility of identifying the actual amount of required resources. Consequently, most systems update resource allocation in small increments, e.g., one VM at a time, which may negatively affect performance and cost. In this paper, we propose a novel approach in which the system monitors workload, instead of utilization, and, by means of a scalability model, it makes predictions of resource demand and updates the allocated resources accordingly. We provide an implementation of this approach and describe experimental results that show its effectiveness. © 2016 IEEE.",,Resource allocation; Dynamic resource allocations; Monitoring system; Performance forecasting; Performance Gain; Resource demands; Resource utilizations; Scalability modeling; System monitors; Monitoring
Fábio Kon,Hadoop energy consumption reduction with hybrid HDFS,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975867913&doi=10.1145%2f2851613.2851623&partnerID=40&md5=0fce70d5eca5f6ceaa37bf26ad8aa622,Universidade de São Paulo - Departamento de Ciência da Computação,"Apache Hadoop has evolved significantly over the last years, with more than 60 releases bringing new features. By implementing the MapReduce programming paradigm and leveraging HDFS, its distributed file system, Hadoop has become a reliable and fault tolerant middleware for parallel and distributed computing over large datasets. Nevertheless, Hadoop may struggle under certain workloads, resulting in poor performance and high energy consumption. Users increasingly demand that high performance computing solutions address sustainability and limit energy consumption. In this paper, we introduce HDFSH, a hybrid storage mechanism for HDFS, which uses a combination of Hard Disks and Solid-State Disks to achieve higher performance while saving power in Hadoop computations. HDFSH brings to the middleware the best from HDs (affordable cost per GB and high storage capacity) and SSDs (high throughput and low energy consumption) in a configurable fashion, using dedicated storage zones for each storage device type. We implemented our mechanism as a block placement policy for HDFS, and assessed it over six recent releases of Hadoop with different architectural properties. Results indicate that our approach increases overall job performance while decreasing the energy consumption under most hybrid configurations evaluated. Our results also showed that, in many cases, storing only part of the data in SSDs results in significant energy savings and execution speedups.",Energy consumption; Hadoop; HDFS; Hybrid storage,Computer software; Digital storage; Energy conservation; Energy utilization; File organization; Hard disk storage; Middleware; Virtual storage; Architectural properties; Distributed file systems; Hadoop; HDFS; High energy consumption; High performance computing; Hybrid storages; Parallel and distributed computing; Distributed computer systems
Fábio Kon,A static change impact analysis approach based on metrics and visualizations to support the evolution of workflow repositories,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969776887&doi=10.4018%2fIJWSR.2016040105&partnerID=40&md5=53914f9b26297bf598342b698535e996,Universidade de São Paulo - Departamento de Ciência da Computação,"In ever-changing business environments, organizations continuously refine their processes to benefit from and meet the constraints of new technology, new business rules, and new market requirements. Workflow management systems (WFMSs) support organizations in evolving their processes by providing them with technological mechanisms to design, enact, and monitor workflows. However, workflows repositories often grow and start to encompass a variety of interdependent workflows. Without appropriate tool support, keeping track of such interdependencies and staying aware of the impact of a change in a workflow schema becomes hard. Workflow designers are often blindsided by changes that end up inducing side- and ripple-effects. This poses threats to the reliability of the workflows and ultimately hampers the evolvability of the workflow repository as a whole. In this paper, the authors introduce a change impact analysis approach based on metrics and visualizations to support the evolution of workflow repositories. They implemented the approach and later integrated it as a module in the HP Operations Orchestration (HP OO) WFMS. The authors conducted an exploratory study in which they thoroughly analyzed the workflow repositories of 8 HP OO customers. They characterized the customer repositories from a change impact perspective and compared them against each other. The authors were able to spot the workflows with high change impact among thousands of workflows in each repository. They also found that while the out-of-the-box repository included in HP OO had 10 workflows with high change impact, customer repositories included 11 (+10%) to 35 (+250%) workflows with this same characteristic. This result indicates the extent to which customers should put additional effort in evolving their repositories. The authors' approach contributes to the body of knowledge on static workflow evolution and complements existing dynamic workflow evolution approaches. Their techniques also aim to help organizations build more flexible and reliable workflow repositories. © 2016, IGI Global.",Change Impact Analysis; Dependency Management; Metrics; Visualizations; Workflow Evolution,Societies and institutions; Visualization; Work simplification; Body of knowledge; Change impact analysis; Changing business environment; Exploratory studies; Market requirements; Metrics; Workflow Evolution; Workflow management systems; Sales
Fábio Kon,Hadoop branching: Architectural impacts on energy and performance,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962815275&doi=10.1109%2fIGCC.2015.7393709&partnerID=40&md5=ed511c63fbf5c63d36350f18f6f07eea,Universidade de São Paulo - Departamento de Ciência da Computação,"Data centers are notorious energy consumers. In fact, studies have shown that for every $1 spent on hardware in the datacenter, $0.50 is spent on powering this hardware over its lifetime. Data centers host real or virtual (i.e., cloud) clusters that often execute large compute jobs using MapReduce, of which Hadoop is a popular implementation. Like other successful open source projects, Hadoop has been maintained and evolved over time with new resource management features being added over time in an effort to improve performance, raising questions as to whether such architectural evolution has achieved its goal, and if so, at what cost. In this work we apply Green Mining to find out that later versions of Hadoop - who exhibit more dynamic resource control - can suffer from serious energy consumption performance regressions. © 2015 IEEE.",,Energy utilization; Architectural evolution; Data centers; Dynamic resource control; Energy consumer; Green mining; Improve performance; Open source projects; Resource management; Hardware
Fábio Kon,Agile usability patterns for user-centered design final stages,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978870619&doi=10.1007%2f978-3-319-39510-4_40&partnerID=40&md5=8dd43a6c5a48894efc5e1dc77e24abbf,Universidade de São Paulo - Departamento de Ciência da Computação,"The integration between Agile Methods and User-Centered Design (UCD) has been addressed by several authors in recent years. Nevertheless, a gap remains regarding a systematically consolidated description of agile usability practices for the final stages of UCD. Our aim is to describe agile usability practices based on the literature in the form of patterns, focusing on the UCD final stages, namely “Create Design Solutions” and “Evaluate Designs”. A literature review was conducted to identify patterns of use of agile usability practices. The major results of the study presented here are the selection and classification of the usability practices for the UCD final stages within the agile community and their structured presentation in the form of patterns (Name, Context, Problem, Solution, and Examples). Presenting agile usability practices as patterns can increase their applicability; it facilitates the visualization of the similarities between the communities of UCD and Agile Methods and also presents the ideas more clearly to other communities that can benefit from using these patterns in their specific development contexts. © Springer International Publishing Switzerland 2016.",Agile UCD; Agile usability; Agile UX; Best practices; Patterns,Design; Human computer interaction; Usability engineering; Agile UCD; Agile usability; Agile UX; Best practices; Patterns; User centered design
Fábio Kon,A hybrid cloud-P2P architecture for multimedia information retrieval on VoD services,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953360913&doi=10.1007%2fs00607-014-0428-3&partnerID=40&md5=c5006121deffc0ed7c8e67b88f5edf3f,Universidade de São Paulo - Departamento de Ciência da Computação,"Recent research in Cloud Computing and Peer-to-Peer systems for Video-on-Demand (VoD) has focused on multimedia information retrieval, using cloud nodes as video streaming servers and peers as a way to distribute and share the video segments. A key challenge faced by these systems is providing an efficient way to retrieve the information segments descriptor, composed of its metadata and video segments, distributed among the cloud nodes and the Peer-to-Peer (P2P) network. In this paper, we propose a novel Cloud Computing and P2P hybrid architecture for multimedia information retrieval on VoD services that supports random seeking while providing scalability and efficiency. The architecture comprises Cloud and P2P layers. The Cloud layer is responsible for video segment metadata retrieval, using ontologies to improve the relevance of the retrieved information, and for distributing the metadata structures among cloud nodes. The P2P layer is responsible for finding peers that have the physical location of a segment. In this layer, we use trackers, which manage and collect the segments shared among other peers. We also use two Distributed Hash Tables, one to find these trackers and the other to store the information collected in case the tracker leaves the network and another peer needs to replace it. Unlike previous work, our architecture separates cloud nodes and peers responsibilities to manage the video metadata and its segments, respectively. Also, we show via simulations, the possibility of converting any peer to act as a tracker, while maintaining system scalability and performance, avoiding using centralized and powerful servers. © 2014, Springer-Verlag Wien.",Cloud computing; DHT; Peer-to-peer; Video-on-demand,Cloud computing; Image segmentation; Information retrieval; Metadata; Multimedia services; Network architecture; Scalability; Search engines; Video on demand; Video streaming; DHT; Distributed Hash Table; Multimedia information retrieval; On demands; Peer to peer; Peer to Peer (P2P) network; Video streaming servers; Video-on-Demand (VoD); Peer to peer networks
Fábio Kon,Software startups-A research agenda,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994056890&doi=10.5277%2fe-Inf160105&partnerID=40&md5=89c61eded80aca77a370cb12f86d1023,Universidade de São Paulo - Departamento de Ciência da Computação,"Software startup companies develop innovative, software-intensive products within limited time frames and with few resources, searching for sustainable and scalable business models. Software startups are quite distinct from traditional mature software companies, but also from micro-, small-, and medium-sized enterprises, introducing new challenges relevant for software engineering research. This paper's research agenda focuses on software engineering in startups, identifying, in particular, 70+ research questions in the areas of supporting startup engineering activities, startup evolution models and patterns, ecosystems and innovation hubs, human aspects in software startups, applying startup concepts in non-startup environments, and methodologies and theories for startup research. We connect and motivate this research agenda with past studies in software startup research, while pointing out possible future directions. While all authors of this research agenda have their main background in Software Engineering or Computer Science, their interest in software startups broadens the perspective to the challenges, but also to the opportunities that emerge from multi-disciplinary research. Our audience is therefore primarily software engineering researchers, even though we aim at stimulating collaborations and research that crosses disciplinary boundaries. We believe that with this research agenda we cover a wide spectrum of the software startup industry current needs.",Research agenda; Software startup; Software-intensive systems,Software engineering; Disciplinary boundaries; Engineering activities; Medium sized enterprise; Multi-disciplinary research; Research agenda; Research questions; Software intensive systems; Start-up companies; Engineering research
Fábio Kon,Perspectives on software-defined networks: interviews with five leading scientists from the networking community,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945915000&doi=10.1186%2fs13174-015-0035-3&partnerID=40&md5=07ed21675050e9c4f0e03681356da9e4,Universidade de São Paulo - Departamento de Ciência da Computação,"Software defined Networks (SDNs) have drawn much attention both from academia and industry over the last few years. Despite the fact that underlying ideas already exist through areas such as P2P applications and active networks (e.g. virtual topologies and dynamic changes of the network via software), only now has the technology evolved to a point where it is possible to scale the implementations, which justifies the high interest in SDNs nowadays. In this article, the JISA Editors invite five leading scientists from three continents (Raouf Boutaba, David Hutchison, Raj Jain, Ramachandran Ramjee, and Christian Esteve Rothenberg) to give their opinions about what is really new in SDNs. The interviews cover whether big telecom and data center companies need to consider using SDNs, if the new paradigm is changing the way computer networks are understood and taught, and what are the open issues on the topic. © 2015, Batista et al.",Data center; SDN; Virtualization,Application programs; Data centers; Dynamic changes; Networking community; P2P applications; SDN; Software-defined networks; Virtual topologies; Virtualizations; Peer to peer networks
