Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Adriano M. Alencar,Effect of the Al2O3 addition on the formation of silver nanoparticles in heat treated soda-lime silicate glasses,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989347627&doi=10.1016%2fj.jnoncrysol.2016.09.028&partnerID=40&md5=9d2aed8268110107b17385718651f315,Universidade de São Paulo - Instituto de Física,"We investigate the formation and evolution of silver nanoparticles in the non-irradiated thermally treated glass system Ag:(37–x)Na2O–10CaO–xAl2O3–53SiO2 mol%, where x = 0.0, 0.5, 1, 2 and 5, doped with 0.2 mol% AgNO3. Using optical absorption and transmission electron microscopy we studied the effect of the gradual addition of Al2O3 to the chemical composition of the soda aluminosilicate glasses. A quantitative method for the evaluation of the relative nanoparticles concentration, proportional to the optical absorption intensity of the silver Surface Plasmon Resonance band, was developed and applied to the study of the behavior of the number of particles precipitated in samples thermally treated at temperatures of 400, 500, and 600 °C. Three mechanisms were found, as consequence of the substitution of SiO4 by AlO4 glass forming local tetrahedral structural units, resulting in the gradual suppression of the negatively charged NBOs−, which are the only reducing sources available in the present non-irradiated glass system. The effects produced by the glass chemical and structural changes on the Ag nanoparticles production are discussed. © 2016 Elsevier B.V.",Optical absorption; Silver nanoparticles; Soda-lime silicate glasses; Surface plasmon resonance; Thermal treatment; Transmission electron microscopy,Aluminum; Electromagnetic wave absorption; Electron microscopy; Glass; Heat treatment; High resolution transmission electron microscopy; Light absorption; Light transmission; Lime; Metal nanoparticles; Nanoparticles; Plasmons; Silicates; Surface plasmon resonance; Transmission electron microscopy; Absorption intensity; Aluminosilicate glass; Chemical compositions; Formation and evolutions; Quantitative method; Silver nanoparticles; Soda lime silicate glass; Tetrahedral structural units; Silver
Adriano M. Alencar,Human bronchial epithelial cells exposed in vitro to diesel exhaust particles exhibit alterations in cell rheology and cytotoxicity associated with decrease in antioxidant defenses and imbalance in pro- and anti-apoptotic gene expression,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957681138&doi=10.1007%2fs11356-016-6228-x&partnerID=40&md5=48ec8e3d5563cee60b1e0cb624934278,Universidade de São Paulo - Instituto de Física,"Diesel exhaust particles (DEPs) from diesel engines produce adverse alterations in cells of the airways by activating intracellular signaling pathways and apoptotic gene overexpression, and also by influencing metabolism and cytoskeleton changes. This study used human bronchial epithelium cells (BEAS-2B) in culture and evaluates their exposure to DEPs (15ug/mL for 1 and 2 h) in order to determine changes to cell rheology (viscoelasticity) and gene expression of the enzymes involved in oxidative stress, apoptosis, and cytotoxicity. BEAS-2B cells exposed to DEPs were found to have a significant loss in stiffness, membrane stability, and mitochondrial activity. The genes involved in apoptosis [B cell lymphoma 2 (BCL-2 and caspase-3)] presented inversely proportional expressions (p = 0.05, p = 0.01, respectively), low expression of the genes involved in antioxidant responses [SOD1 (superoxide dismutase 1); SOD2 (superoxide dismutase 2), and GPx (glutathione peroxidase) (p = 0.01)], along with an increase in cytochrome P450, family 1, subfamily A, polypeptide 1 (CYP1A1) (p = 0.01). These results suggest that alterations in cell rheology and cytotoxicity could be associated with oxidative stress and imbalance between pro- and anti-apoptotic genes. © 2016, Springer-Verlag Berlin Heidelberg.",Air pollution; Cell rheology; Cytotoxicity; Gene expression; Oxidative stress; Ultrafine particles,"antioxidant; BCL2 protein, human; caspase 3; CYP1A1 protein, human; cytochrome P450 1A1; exhaust gas; glutathione peroxidase; particulate matter; protein bcl 2; apoptosis; bronchus; cell line; cell survival; drug effects; epithelium cell; exhaust gas; flow kinetics; gene expression; genetics; human; metabolism; oxidative stress; particle size; particulate matter; pathology; toxicity; Antioxidants; Apoptosis; Bronchi; Caspase 3; Cell Line; Cell Survival; Cytochrome P-450 CYP1A1; Epithelial Cells; Gene Expression; Glutathione Peroxidase; Humans; Oxidative Stress; Particle Size; Particulate Matter; Proto-Oncogene Proteins c-bcl-2; Rheology; Vehicle Emissions"
Adriano M. Alencar,Validation of capillarity theory at the nanometer scale by atomistic computer simulations of water droplets and bridges in contact with hydrophobic and hydrophilic surfaces,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956680895&doi=10.1021%2facs.jpcc.5b10377&partnerID=40&md5=a2d76ee29f879d295c9088171fdd5015,Universidade de São Paulo - Instituto de Física,"Capillarity is the study of interfaces between two immiscible liquids or between a liquid and a vapor. The theory of capillarity was created in the early 1800s, and it is applicable to mesoscopic and macroscopic (&gt;1 μm) systems. In general, macroscopic theories are expected to fail at the &lt;10 nm scales where molecular details may become relevant. In this work, we show that, surprisingly, capillarity theory (CT) provides satisfactory predictions at 2-10 nm scales. Specifically, we perform atomistic molecular dynamics (MD) simulations of water droplets and capillary bridges of different symmetry in contact with various surfaces. The underlying structure of the surfaces corresponds to hydroxilated (crystalline) silica which is modified to cover a wide range of hydrophobicity/hydrophilicity. In agreement with CT, it is found that water contact angle is independent of the droplet/bridge geometry and depends only on the hydrophobicity/hydrophilicity of the surface employed. In addition, CT provides the correct droplet/bridge profile for all (hydrophobic/hydrophilic) surfaces considered. Remarkably, CT works even for the very small droplets/bridges studied, for which the smallest dimension is 2 nm. It follows that the concepts of surface tension and contact angle are indeed meaningful at 2-10 nm scales even when, macroscopically, such concepts are not justified. In order to confirm the self-consistency of CT at 2-10 nm scales, we also calculate the capillary forces between different surfaces induced by water capillary bridges. These forces depend on the liquid-vapor surface tension of water, . Using CT, the calculated forces indicate that = 0.054 ± 0.001 N/m2. This is in agreement with the value = 0.056 ± 0.001 N/m2 obtained independently using the Kirkwood-Buff method, and it is consistent with values of reported in the literature for the present water model. Confirming the validity of CT at 2-10 nm scales has relevant implications in scientific applications, such as in our understanding of self-assembly processes at interfaces. We discuss briefly this and other consequences of the present results. © 2015 American Chemical Society.",,Capillarity; Contact angle; Drop formation; Drops; Hydrophobicity; Liquids; Molecular dynamics; Self assembly; Surface tension; Atomistic computer simulation; Atomistic molecular dynamics; Hydrophobic and hydrophilic; Hydrophobic/hydrophilic; Liquid-vapor surfaces; Satisfactory predictions; Scientific applications; Self assembly process; Phase interfaces
Adriano M. Alencar,Non-equilibrium cytoquake dynamics in cytoskeletal remodeling and stabilization,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992222067&doi=10.1039%2fc6sm01041e&partnerID=40&md5=dc9ddd6948089e42b6bb49c5a1f4ec97,Universidade de São Paulo - Instituto de Física,"The cytoskeleton (CSK) is a tensed fiber framework that supports, shapes and stabilizes the cell. The CSK is in a constant state of remodeling, moreover, which is an active non-equilibrium thermodynamic process. We report here that cytoskeletal remodeling involves reconfigurations that are not only sudden but also are transmitted to great distances within the cell in a fashion reminiscent of quakes in the Earth's crust. Remarkably, these events in the cell conform both qualitatively and quantitatively to empirical laws typical of earthquakes, including hierarchical fault structures, cumulative energy distributions following the Gutenberg-Richter law, and rate of after-shocks following Omori's law. While it is well-established that remodeling and stabilization of the cytoskeleton are non-equilibrium process, these new unanticipated observations establish that these processes are also remarkably non-local and strongly cooperative. © The Royal Society of Chemistry 2016.",,Earthquakes; Structural geology; Cumulative energy; Earth's crust; Empirical laws; Fault structure; Gutenberg-Richter law; Non equilibrium; Non equilibrium thermodynamics; Non-equilibrium process; Stabilization
Adriano M. Alencar,Smoking and female sex: Independent predictors of human vascular smooth muscle cells stiffening,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957112195&doi=10.1371%2fjournal.pone.0145062&partnerID=40&md5=effc1665b7082e49b479cc042f605296,Universidade de São Paulo - Instituto de Física,"Aims Recent evidence shows the rigidity of vascular smooth muscle cells (VSMC) contributes to vascular mechanics. Arterial rigidity is an independent cardiovascular risk factor whose associated modifications in VSMC viscoelasticity have never been investigated. This study's objective was to evaluate if the arterial rigidity risk factors aging, African ancestry, female sex, smoking and diabetes mellitus are associated with VMSC stiffening in an experimental model using a human derived vascular smooth muscle primary cell line repository. Methods Eighty patients subjected to coronary artery bypass surgery were enrolled. VSMCs were extracted from internal thoracic artery fragments and mechanically evaluated using Optical Magnetic Twisting Cytometry assay. The obtained mechanical variables were correlated with the clinical variables: age, gender, African ancestry, smoking and diabetes mellitus. Results The mechanical variables Gr, G'r and G""r had a normal distribution, demonstrating an interindividual variability of VSMC viscoelasticity, which has never been reported before. Female sex and smoking were independently associated with VSMC stiffening: Gr (apparent cell stiffness) p = 0.022 and p = 0.018, R2 0.164; G'r (elastic modulus) p = 0.019 and p = 0.009, R2 0.184 and G''r (dissipative modulus) p = 0.011 and p = 0.66, R2 0.141. Conclusion Female sex and smoking are independent predictors of VSMC stiffening. This pro-rigidity effect represents an important element for understanding the vascular rigidity observed in post-menopausal females and smokers, as well as a potential therapeutic target to be explored in the future. There is a significant inter-individual variation of VSMC viscoelasticity, which is slightly modulated by clinical variables and probably relies on molecular factors. © 2015 Dinardo et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in anymedium, provided the original author and source are credited.",,"adult; aging; arterial stiffness; Article; Black person; coronary artery bypass surgery; diabetes mellitus; female; human; human cell; ischemic heart disease; major clinical study; male; predictive value; risk assessment; risk factor; sex difference; smoking; vascular smooth muscle cell; viscoelasticity; Young modulus; age; aged; Cardiovascular Diseases; cell culture; coronary artery bypass graft; cytology; female; middle aged; non insulin dependent diabetes mellitus; pathology; physiology; postmenopause; sex difference; vascular smooth muscle; African Continental Ancestry Group; Age Factors; Aged; Cardiovascular Diseases; Cells, Cultured; Coronary Artery Bypass; Diabetes Mellitus, Type 2; Elastic Modulus; Female; Humans; Male; Middle Aged; Muscle, Smooth, Vascular; Postmenopause; Risk Factors; Sex Factors; Smoking"
Adriano M. Alencar,"Diesel exhaust particulates affect cell signaling, mucin profiles, and apoptosis in trachea explants of Balb/C mice",2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944274346&doi=10.1002%2ftox.22000&partnerID=40&md5=c2bb4dc2d606d8ee7b20a58d8ecbc4d8,Universidade de São Paulo - Instituto de Física,"Particulate matter from diesel exhaust (DEP) has toxic properties and can activate intracellular signaling pathways and induce metabolic changes. This study was conducted to evaluate the activation of extracellular signal-regulated kinase (ERK) and c-Jun N-terminal kinase (JNK) and to analyze the mucin profile (acid (AB+), neutral (PAS+), or mixed (AB/PAS+) mucus) and vacuolization (V) of tracheal explants after treatment with 50 or 100 μg/mL DEP for 30 or 60 min. Western blot analyses showed small increases in ERK1/2 and JNK phosphorylation after 30 min of 100 μg/mL DEP treatment compared with the control. An increase in JNK phosphorylation was observed after 60 min of treatment with 50 μg/mL DEP compared with the control. We did not observe any change in the level of ERK1/2 phosphorylation after treatment with 50 μg/mL DEP. Other groups of tracheas were subjected to histological sectioning and stained with periodic acid-Schiff (PAS) reagent and Alcian Blue (AB). The stained tissue sections were then subjected to morphometric analysis. The results obtained were compared using ANOVA. Treatment with 50 μg/mL DEP for 30 min or 60 min showed a significant increase (p&lt;0.001) in the amount of acid mucus, a reduction in neutral mucus, a significant reduction in mixed mucus, and greater vacuolization. Our results suggest that compounds found in DEPs are able to activate acid mucus production and enhance vacuolization and cell signaling pathways, which can lead to airway diseases. © 2014 Wiley Periodicals, Inc.",Biomarkers; DEP; Explants; Histopathology; MAPK; Signal transduction,"Biomarkers; Body fluids; Cell death; Enzyme activity; Enzymes; Phosphorylation; Signal transduction; Signaling; C-jun N-terminal kinase; DEP; Diesel exhaust particulates; Explants; Extracellular signal-regulated kinase; Histopathology; Intracellular signaling pathways; MAPK; Cell signaling; diesel fuel; mitogen activated protein kinase; mucin; stress activated protein kinase; air pollutant; exhaust gas; mitogen activated protein kinase; mucin; particulate matter; stress activated protein kinase; animal experiment; animal tissue; apoptosis; Article; Bagg albino mouse; cell vacuole; chemical composition; controlled study; exhaust gas; explant; exposure; intracellular signaling; male; mouse; nonhuman; organ culture; particulate matter; priority journal; protein phosphorylation; scanning electron microscopy; tissue section; toxicity; trachea; Western blotting; air pollutant; animal; apoptosis; dose response; drug effects; epithelium cell; exhaust gas; metabolism; mucus; particulate matter; pathology; phosphorylation; signal transduction; toxicity; trachea; Mus; Air Pollutants; Animals; Apoptosis; Dose-Response Relationship, Drug; Epithelial Cells; Extracellular Signal-Regulated MAP Kinases; JNK Mitogen-Activated Protein Kinases; MAP Kinase Signaling System; Mice; Mice, Inbred BALB C; Mucins; Mucus; Particulate Matter; Phosphorylation; Signal Transduction; Trachea; Vehicle Emissions"
Adriano M. Alencar,Numeric reconstruction of 2D cellular actomyosin network from substrate displacement,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955282919&doi=10.1590%2f2446-4740.0778&partnerID=40&md5=e253cbe73941a9aba7384226673f20fc,Universidade de São Paulo - Instituto de Física,"Introduction: One of the fundamental structural elements of the cell is the cytoskeleton. Along with myosin, actin microfilaments are responsible for cellular contractions, and their organization may be related to pathological changes in myocardial tissue. Due to the complexity of factors involved, numerical modeling of the cytoskeleton has the potential to contribute to a better understanding of mechanical cues in cellular activities. In this work, a systematic method was developed for the reconstruction of an actomyosin topology based on the displacement exerted by the cell on a flexible substrate. It is an inverse problem which could be considered a phenomenological approach to traction force microscopy (TFM). Methods: An actomyosin distribution was found with a topology optimization method (TOM), varying the material density and angle of contraction of each element of the actomyosin domain. The routine was implemented with a linear material model for the bidimensional actomyosin elements and tridimensional substrate. The topology generated minimizes the nodal displacement squared differences between the generated topology and experimental displacement fields obtained by TFM. The structure resulting from TOM was compared to the actin structures observed experimentally with a GFP-attached actin marker. Results: The optimized topology reproduced the main features of the experimental actin and its squared displacement differences were 11.24 µm2, 27.5% of the sum of experimental squared nodal displacements (40.87 µm2). Conclusion: This approach extends the literature with a model for the actomyosin structure capable of distributing anisotropic material freely, allowing heterogeneous contraction over the cell extension. © 2015, Sociedade Brasileira de Engenharia Biomedica. All rights reserved.",Actin; Cell mechanics; Finite element method; Topology optimization method; Traction force microscopy,Cells; Complex networks; Cytology; Inverse problems; Proteins; Topology; Traction (friction); Finite element method; Actin; Anisotropic material; Cell mechanics; Cellular contraction; Pathological changes; Phenomenological approach; Topology Optimization Method; Traction force microscopies; Actin microfilaments; Finite element method; Proteins
Adriano M. Alencar,Erratum: Rapid and localized mechanical stimulation and adhesion assay: TRPM7 involvement in calcium signaling and cell adhesion (PLoS ONE (2015) 10:5 (e0126440) DOI: 10.1371/journal.pone.0126440),2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960380009&doi=10.1371%2fjournal.pone.0138281&partnerID=40&md5=7b36e298bb79449ed01a0d997b170ba1,Universidade de São Paulo - Instituto de Física,[No abstract available],,Erratum; error
Adriano M. Alencar,Rapid and localized mechanical stimulation and adhesion assay: TRPM7 involvement in calcium signaling and cell adhesion,2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929193288&doi=10.1371%2fjournal.pone.0126440&partnerID=40&md5=3638625ccd84c96dd8f7d05e0e61bff9,Universidade de São Paulo - Instituto de Física,"A cell mechanical stimulation equipment, based on cell substrate deformation, and a more sensitive method for measuring adhesion of cells were developed. A probe, precisely positioned close to the cell, was capable of a vertical localized mechanical stimulation with a temporal frequency of 207 Hz, and strain magnitude of 50%. This setup was characterized and used to probe the response of Human Umbilical Endothelial Vein Cells (HUVECs) in terms of calcium signaling. The intracellular calcium ion concentration was measured by the genetically encoded Cameleon biosensor, with the Transient Receptor Potential cation channel, subfamily M, member 7 (TRPM7) expression inhibited. As TRPM7 expression also regulates adhesion, a relatively simple method for measuring adhesion of cells was also developed, tested and used to study the effect of adhesion alone. Three adhesion conditions of HUVECs on polyacrylamide gel dishes were compared. In the first condition, the substrate is fully treated with Sulfo-SANPAH crosslinking and fibronectin. The other two conditions had increasingly reduced adhesion: partially treated (only coated with fibronectin, with no use of Sulfo-SANPAH, at 5% of the normal amount) and non-treated polyacrylamide gels. The cells showed adhesion and calcium response to the mechanical stimulation correlated to the degree of gel treatment: highest for fully treated gels and lowest for non-treated ones. TRPM7 inhibition by siRNA on HUVECs caused an increase in adhesion relative to control (no siRNA treatment) and non-targeting siRNA, but a decrease to 80% of calcium response relative to non-targeting siRNA which confirms the important role of TRPM7 in mechanotransduction despite the increase in adhesion. © 2015 Nishitani et al.",,"calcium ion; fibronectin; polyacrylamide gel; small interfering RNA; transient receptor potential channel M7; calcium; protein serine threonine kinase; transient receptor potential channel M; TRPM7 protein, human; Article; biosensor; calcium cell level; calcium signaling; cell adhesion; cell adhesion assay; controlled study; human; human cell; mechanical stimulation; mechanotransduction; protein expression; umbilical vein endothelial cell; calcium signaling; cell adhesion; cell culture; genetic procedures; genetics; mechanics; metabolism; physiology; RNA interference; Biosensing Techniques; Calcium; Calcium Signaling; Cell Adhesion; Cells, Cultured; Human Umbilical Vein Endothelial Cells; Humans; Mechanical Phenomena; Mechanotransduction, Cellular; Protein-Serine-Threonine Kinases; RNA Interference; RNA, Small Interfering; TRPM Cation Channels"
Adriano M. Alencar,"Enriched inorganic compounds in diesel exhaust particles induce mitogen-activated protein kinase activation, cytoskeleton instability, and cytotoxicity in human bronchial epithelial cells",2015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952636700&doi=10.1016%2fj.etp.2015.02.004&partnerID=40&md5=84e01c2926d5dbe01a511f215bd2c183,Universidade de São Paulo - Instituto de Física,"This study assessed the effects of the diesel exhaust particles on ERK and JNK MAPKs activation, cell rheology (viscoelasticity), and cytotoxicity in bronchial epithelial airway cells (BEAS-2B). Crude DEP and DEP after extraction with hexane (DEP/HEX) were utilized. The partial reduction of some DEP/HEX organics increased the biodisponibility of many metallic elements. JNK and ERK were activated simultaneously by crude DEP with no alterations in viscoelasticity of the cells. Mitochondrial activity, however, revealed a decrease through the MTT assay. DEP/HEX treatment increased viscoelasticity and cytotoxicity (membrane damage), and also activated JNK. Our data suggest that the greater bioavailability of metals could be involved in JNK activation and, consequently, in the reduction of fiber coherence and increase in the viscoelasticity and cytotoxicity of BEAS cells. The adverse findings detected after exposure to crude DEP and to DEP/HEX reflect the toxic potential of diesel compounds. Considering the fact that the cells of the respiratory epithelium are the first line of defense between the body and the environment, our data contribute to a better understanding of the pathways leading to respiratory cell injury and provide evidence for the onset of or worsening of respiratory diseases caused by inorganic compounds present in DEP. © 2015 Elsevier GmbH.",Cell viscoelasticity; Cytotoxicity; Diesel exhaust particles; MAPKs; Metals,"inorganic compound; Janus kinase; lactate dehydrogenase; mitogen activated protein kinase; exhaust gas; inorganic compound; mitogen activated protein kinase; particulate matter; Article; cell disruption; cell size; cell viability; colorimetry; controlled study; cytoskeleton; cytotoxicity; enzyme activation; enzyme phosphorylation; exhaust gas; human; human cell; particle size; protein expression; viscoelasticity; bronchus; cell culture; cytoskeleton; drug effects; enzyme activation; epithelium cell; exhaust gas; metabolism; particulate matter; respiratory tract mucosa; toxicity; Bronchi; Cells, Cultured; Cytoskeleton; Enzyme Activation; Epithelial Cells; Humans; Inorganic Chemicals; Mitogen-Activated Protein Kinases; Particulate Matter; Respiratory Mucosa; Vehicle Emissions"
