Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Maria Cecília Salvadori,Zirconium based metal pretreatments: A characterization method for ecologically sustainable thin film surface pretreatments,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988359642&doi=10.4028%2fwww.scientific.net%2fMSF.869.693&partnerID=40&md5=0d3f2906aaec2a4bd9bc85664eaf8424,Universidade de São Paulo - Instituto de Física,"Zirconium based metal pretreatments have become widely used in recent years as a substitute for phosphate deposition on steel alloys and for chromate on aluminum alloys in industrial applications. The choice of a zirconium based intermediate layer follows from its ecologic sustainability − decreased water and energy consumption, vehicle weight reduction, and low byproduct generation during processing. Here we describe our investigations of a characterization method of converted metal oxide thin films deposited by a plasma method. The thin film composition was characterized by Rutherford Backscattering Spectroscopy (RBS) and Energy Dispersive Spectroscopy (EDS) before and after conversion by a zirconium-based pretreatment, revealing the formation of zirconia after treatment. The corrosion mechanism of the deposited metal oxide films was investigated using electrochemical analysis, confirming the susceptibility of the film to corrosion and the applicability of corrosion investigations. The results pointed to a better performance of the RBS in comparison to EDS. © 2016 Trans Tech Publications, Switzerland.",Corrosion; Pretreatment; RBS; Zirconium,Alloy steel; Aluminum alloys; Aluminum coatings; Characterization; Corrosion; Energy dispersive spectroscopy; Energy utilization; Metallic compounds; Metals; Oxide films; Rubidium; Rutherford backscattering spectroscopy; Zirconia; Zirconium; Characterization methods; Ecologic sustainability; Electrochemical analysis; Energy dispersive spectroscopies (EDS); Metal oxide thin films; Pre-Treatment; Thin film composition; Vehicle weight reductions; Thin films
Maria Cecília Salvadori,Surface modification by metal ion implantation forming metallic nanoparticles in an insulating matrix,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903274874&doi=10.1016%2fj.apsusc.2014.03.145&partnerID=40&md5=cc65b41b91bb905f2648f08f23256495,Universidade de São Paulo - Instituto de Física,"There is special interest in the incorporation of metallic nanoparticles in a surrounding dielectric matrix for obtaining composites with desirable characteristics such as for surface plasmon resonance, which can be used in photonics and sensing, and controlled surface electrical conductivity. We have investigated nanocomposites produced by metal ion implantation into insulating substrates, where the implanted metal self-assembles into nanoparticles. The nanoparticles nucleate near the maximum of the implantation depth profile (projected range), which can be estimated by computer simulation using the TRIDYN code. TRIDYN is a Monte Carlo simulation program based on the TRIM (Transport and Range of Ions in Matter) code that takes into account compositional changes in the substrate due to two factors: previously implanted dopant atoms, and sputtering of the substrate surface. Our study show that the nanoparticles form a bidimentional array buried a few nanometers below the substrate surface. We have studied Au/PMMA (polymethylmethacrylate), Pt/PMMA, Ti/alumina and Au/alumina systems. Transmission electron microscopy of the implanted samples show that metallic nanoparticles form in the insulating matrix. These nanocomposites have been characterized by measuring the resistivity of the composite layer as a function of the implantation dose. The experimental results are compared with a model based on percolation theory, in which electron transport through the composite is explained by conduction through a random resistor network formed by the metallic nanoparticles. Excellent agreement is found between the experimental results and the predictions of the theory. We conclude in that the conductivity process is due only to percolation (when the conducting elements are in geometric contact) and that the contribution from tunneling conduction is negligible. © 2014 Elsevier B.V.",Ion implantation; Nanocomposites; Nanoparticles; Surface modification,Computer simulation; Insulation; Metal ions; Metal nanoparticles; Metallic matrix composites; Monte Carlo methods; Nanocomposites; Nanoparticles; Solvents; Substrates; Surface treatment; Transmission electron microscopy; Compositional changes; Conductivity process; Insulating substrates; Metallic nanoparticles; Monte- carlo simulations; Random resistor networks; Surface electrical conductivity; Transport and range of ions in matters; Ion implantation
Maria Cecília Salvadori,Cell adhesion and growth on surfaces modified by plasma and ion implantation,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899843837&doi=10.1063%2f1.4871541&partnerID=40&md5=1227ac487720885a8c244cdc4a810e3b,Universidade de São Paulo - Instituto de Física,"In this study, we show and discuss the results of the interaction of living CHO (Chinese Hamster Ovary) cells, in terms of adhesion and growth on glass, SU-8 (epoxi photoresist), PDMS (polydimethylsiloxane), and DLC (hydrogen free diamond-like carbon) surfaces. Glass, SU-8, and DLC but not PDMS showed to be good surfaces for cell growth. DLC surfaces were treated by oxygen plasma (DLC-O) and sulfur hexafluoride plasma (DLC-F). After 24 h of cell culture, the number of cells on DLC-O was higher than on DLC-F surface. SU-8 with silver implanted, creating nanoparticles 12 nm below the surface, increased significantly the number of cells per unit area. © 2014 AIP Publishing LLC.",,Cell adhesion; Cell culture; Glass; Ion implantation; Microchannels; Photoresists; Plasmas; Silver; Chinese hamster ovary; Diamond-like carbon; Oxygen plasmas; Per unit; Sulfur hexafluoride plasmas; Silicones
Maria Cecília Salvadori,"Gold ion implantation into alumina using an ""inverted ion source"" configuration",2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899824328&doi=10.1063%2f1.4824755&partnerID=40&md5=e2cc87da4f71b1079ad846e1049c69f6,Universidade de São Paulo - Instituto de Física,"We describe an approach to ion implantation in which the plasma and its electronics are held at ground potential and the ion beam is injected into a space held at high negative potential, allowing considerable savings both economically and technologically. We used an ""inverted ion implanter"" of this kind to carry out implantation of gold into alumina, with Au ion energy 40 keV and dose (3-9) × 1016 cm-2. Resistivity was measured in situ as a function of dose and compared with predictions of a model based on percolation theory, in which electron transport in the composite is explained by conduction through a random resistor network formed by Au nanoparticles. Excellent agreement is found between the experimental results and the theory. © 2013 AIP Publishing LLC.",,Alumina; Electron transport properties; Gold; Ion beams; Ion sources; Solvents; Au nanoparticle; Electron transport; Ground potential; Ion implanters; Model-based OPC; Negative potential; Percolation theory; Random resistor networks; Ion implantation
Maria Cecília Salvadori,Erratum: Electrical conductivity of platinum-implanted polymethylmethacrylate nanocomposite (Journal of Applied Physics (2011) 110 (114905)),2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908434512&doi=10.1063%2f1.4900979&partnerID=40&md5=cef88cc2e4db1c388190fd519d852a6d,Universidade de São Paulo - Instituto de Física,[No abstract available],,
Maria Cecília Salvadori,Nanocomposite formed by titanium ion implantation into alumina,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912571172&doi=10.1063%2f1.4901643&partnerID=40&md5=5977666b524010d72ba2915c94477270,Universidade de São Paulo - Instituto de Física,"Composites of titanium nanoparticles in alumina were formed by ion implantation of titanium into alumina, and the surface electrical conductivity measured in situ as the implantation proceeded, thus generating curves of sheet conductivity as a function of dose. The implanted titanium self-conglomerates into nanoparticles, and the spatial dimensions of the buried nanocomposite layer can thus be estimated from the implantation depth profile. Rutherford backscattering spectrometry was performed to measure the implantation depth profile, and was in good agreement with the calculated profile. Transmission electron microscopy of the titanium-implanted alumina was used for direct visualization of the nanoparticles formed. The measured conductivity of the buried layer is explained by percolation theory. We determine that the saturation dose, φ0, the maximum implantation dose for which the nanocomposite material still remains a composite, is φ0-=-2.2-×-1016-cm-2, and the corresponding saturation conductivity is σ0-=-480-S/m. The percolation dose φc, below which the nanocomposite still has basically the conductivity of the alumina matrix, was found to be φc-=-0.84-×-1016-cm-2. The experimental results are discussed and compared with a percolation theory model. © 2014 AIP Publishing LLC.",,Alumina; Nanocomposites; Nanoparticles; Percolation (solid state); Rutherford backscattering spectroscopy; Solvents; Titanium; Transmission electron microscopy; Direct visualization; Implantation depth; Nano-composite layers; Percolation theory; Rutherford back-scattering spectrometry; Surface electrical conductivity; Titanium ion implantation; Titanium nanoparticles; Ion implantation
Maria Cecília Salvadori,Tooth tissue engineering: The influence of hydrophilic surface on nanocrystalline diamond films for human dental stem cells,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889799304&doi=10.1089%2ften.tea.2012.0628&partnerID=40&md5=fa8a270a66e20ad4fda698145848ace5,Universidade de São Paulo - Instituto de Física,"New techniques for tissue engineering (TE) are rapidly emerging. The basic concept of autologous TE is to isolate cells from small biopsy specimens, and to expand these cells in culture for subsequent seeding onto biodegradable scaffolds. Nanocrystalline diamond films have attracted the attention of researchers from a variety of different areas in recent years, due to their unique and exceptional properties. In this approach, human dental stem cells (hDSCs) were characterized by flow cytometry and grown on diamond films with hydrogen (H)-terminated and oxygen (O)-terminated surfaces for 28 days, and then removed by lysis and washing with distilled water. Energy dispersive spectroscopy analysis was performed, showing that the regions with O-terminated surfaces contained much higher levels of deposited calcium, oxygen, and phosphorus. These results suggest that the extracellular matrix was considerably more developed in the O-terminated regions, as compared with the H-terminated regions. In addition, optical microscopy of hDSCs cultured on the diamond substrate with H-and O-terminated surfaces, before washing with distilled water, showed preferential directions of the cells arrangement, where orthogonal lines suggest that the cells appeared to be following the O-terminated regions or hydrophilic surface. These findings suggest that O-terminated diamond surfaces prepared on biodegradable scaffolds can be useful for mineralized dental tissue formation. © 2013 Mary Ann Liebert, Inc.",,"Cytology; Diamond films; Energy dispersive spectroscopy; Hydrophilicity; Oxygen; Stem cells; Washing; Basic concepts; Biodegradable scaffold; Diamond substrates; Diamond surfaces; Distilled water; Extracellular matrices; Hydrophilic surfaces; Nanocrystalline diamond films; Scaffolds (biology); calcium; diamond; hydrogen; mannitol; nanocrystal; oxygen; phosphorus; article; cell growth; cell population; cell structure; dental stem cell; extracellular matrix; flow cytometry; human; human cell; human tissue; hydrophilicity; molar tooth; priority journal; stem cell; surface property; tissue engineering; tooth; tooth development; Cells, Cultured; Humans; Hydrophobic and Hydrophilic Interactions; Nanodiamonds; Stem Cells; Tissue Engineering; Tissue Scaffolds; Tooth"
Maria Cecília Salvadori,Microcavity-array superhydrophobic surfaces: Limits of the model,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888423629&doi=10.1063%2f1.4829003&partnerID=40&md5=5707df153fd96ec2a3497107a1353f27,Universidade de São Paulo - Instituto de Física,"Superhydrophobic surfaces formed of microcavities can be designed with specific desired advancing and receding contact angles using a new model described by us in prior work. Here, we discuss the limits of validity of the model, and explore the application of the model to surfaces fabricated with small cavities of radius 250 nm and with large cavities of radius 40 μm. The Wenzel model is discussed and used to calculate the advancing and receding contact angles for samples for which our model cannot be applied. We also consider the case of immersion of a sample containing microcavities in pressurized water. A consideration that then arises is that the air inside the cavities can be dissolved in the water, leading to complete water invasion into the cavities and compromising the superhydrophobic character of the surface. Here, we show that this effect does not destroy the surface hydrophobia when the surface is subsequently removed from the water. © 2013 AIP Publishing LLC.",,Advancing and receding contact angles; Large cavities; Pressurized water; Small cavities; Super-hydrophobic surfaces; Superhydrophobic; Water invasion; Wenzel models; Contact angle; Hydrophobicity; Surface properties; Microcavities
Maria Cecília Salvadori,Electrical conductivity of gold-implanted alumina nanocomposite,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879403355&doi=10.1016%2fj.nimb.2013.05.024&partnerID=40&md5=72585a5f74d12f48b4363c49efc0468a,Universidade de São Paulo - Instituto de Física,"We have carried out ion implantation of gold into alumina ceramic substrates and measured the surface resistivity as a function of implantation dose. The Au ion energy was 40 keV and the dose spanned the range 2.7-8.9 × 1016 cm-2. Imaging of the implanted material by transmission electron microscopy revealed that the implanted gold self-assembles into nanoparticles, thus forming a gold-alumina nano-composite. The surface resistivity measurements were compared with the predictions of a model based on percolation theory, in which electron transport through the composite is explained by conduction through a random resistor network formed by the Au nanoparticles. The electrical conductivity of a composite, near the critical conductor-insulator transition, is given by σ ≈ σ0(x- xc)t, where σ0 is the saturation conductivity for which the material still remains a composite, x is the normalized metal atom concentration of the conducting phase, xc is the critical concentration, or percolation threshold and t is the critical exponent. Excellent agreement was found between the experimental results and the predictions of the theory, and the results are consistent with prior related (but more limited) work. The percolation dose was 4.4 × 1016 cm-2, and the critical exponent obtained was t = 1.4 ± 0.1. We conclude that the conductivity process is due to percolation and that the contribution from tunneling conduction is negligible. © 2013 Elsevier B.V. All rights reserved.",Conducting ceramic; Metal ion implantation; Percolation; Surface conductivity,Alumina ceramic substrates; Conducting ceramic; Conductor-insulator transition; Critical concentration; Electrical conductivity; Percolation thresholds; Random resistor networks; Surface conductivity; Alumina; Ceramic materials; Electric conductivity; Forecasting; Ion implantation; Metal ions; Nanocomposites; Nanoparticles; Percolation (solid state); Solvents; Transmission electron microscopy; Gold
Maria Cecília Salvadori,Isotropic and anisotropic wrinkling of diamond-like carbon films on polydimethylsiloxane substrates,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880818374&doi=10.1063%2f1.4811456&partnerID=40&md5=7197b5af50cf324634d4a18d405c9f38,Universidade de São Paulo - Instituto de Física,"We describe experimental results about the spontaneous wrinkling of diamond-like carbon films over the thickness range 2 nm-58 nm, grown on polydimethylsiloxane (PDMS) substrates with a 5 nm gold film deposited as adhesion layer. Using Atomic Force Microscopy data with suitable processing, we explore both isotropic and anisotropic wrinkling, the latter done by creating trench structures on PDMS substrates. We show new non-predictable results based on the known literature. © 2013 AIP Publishing LLC.",,Adhesion layer; Gold film; PDMS substrate; Polydimethylsiloxane (PDMS) substrates; Trench structures; Anisotropy; Atomic force microscopy; Carbon films; Data handling; Microchannels; Silicones
Maria Cecília Salvadori,Performance of an inverted ion source,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874859100&doi=10.1063%2f1.4793377&partnerID=40&md5=5d1a205aab74948359b10f2873c9ca25,Universidade de São Paulo - Instituto de Física,"Whereas energetic ion beams are conventionally produced by extracting ions (say, positive ions) from a plasma that is held at high (positive) potential, with ion energy determined by the potential drop through which the ions fall in the beam formation electrode system, in the device described here the plasma and its electronics are held at ground potential and the ion beam is formed and injected energetically into a space maintained at high (negative) potential. We refer to this configuration as an ""inverted ion source."" This approach allows considerable savings both technologically and economically, rendering feasible some ion beam applications, in particular small-scale ion implantation, that might otherwise not be possible for many researchers and laboratories. We have developed a device of this kind utilizing a metal vapor vacuum arc plasma source, and explored its operation and beam characteristics over a range of parameter variation. The downstream beam current has been measured as a function of extraction voltage (5-35 kV), arc current (50-230 A), metal ion species (Ti, Nb, Au), and extractor grid spacing and beamlet aperture size (3, 4, and 5 mm). The downstream ion beam current as measured by a magnetically-suppressed Faraday cup was up to as high as 600 mA, and with parametric variation quite similar to that found for the more conventional metal vapor vacuum arc ion source. © 2013 American Institute of Physics.",,Beam characteristics; Conventional metals; Energetic ion beams; Extraction voltage; Ion beam currents; Ion-beam applications; Metal vapor vacuum arcs; Parametric variation; Ion implantation; Ion sources; Metal ions; Vacuum applications; Vapors; Ion beams
Maria Cecília Salvadori,Low cost ion implantation technique,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870526002&doi=10.1063%2f1.4768699&partnerID=40&md5=a776cffc9eabdd0e94035d12da3defae,Universidade de São Paulo - Instituto de Física,"We describe an approach to ion implantation in which the plasma and its electronics are held at ground potential and the ion beam is formed and injected energetically into a space held at high negative potential. The technique allows considerable savings both economically and technologically, rendering feasible ion implantation applications that might otherwise not be possible for many researchers and laboratories. Here, we describe the device and the results of tests demonstrating Nb implantation at 90 keV ion energy and dose about 2 × 1016 cm-2. © 2012 American Institute of Physics.",,Ground potential; Implantation technique; Ion energies; Low costs; Negative potential; Physical properties; Physics; Ion implantation
Maria Cecília Salvadori,Gold nanoparticle formation in diamond-like carbon using two different methods: Gold ion implantation and co-deposition of gold and carbon,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867505115&doi=10.1063%2f1.4757029&partnerID=40&md5=6d9dded6d77896a0f38501474afb6c2c,Universidade de São Paulo - Instituto de Física,"We describe work in which gold nanoparticles were formed in diamond-like carbon (DLC), thereby generating a Au-DLC nanocomposite. A high-quality, hydrogen-free DLC thin film was formed by filtered vacuum arc plasma deposition, into which gold nanoparticles were introduced using two different methods. The first method was gold ion implantation into the DLC film at a number of decreasing ion energies, distributing the gold over a controllable depth range within the DLC. The second method was co-deposition of gold and carbon, using two separate vacuum arc plasma guns with suitably interleaved repetitive pulsing. Transmission electron microscope images show that the size of the gold nanoparticles obtained by ion implantation is 3-5 nm. For the Au-DLC composite obtained by co-deposition, there were two different nanoparticle sizes, most about 2 nm with some 6-7 nm. Raman spectroscopy indicates that the implanted sample contains a smaller fraction of sp 3 bonding for the DLC, demonstrating that some sp 3 bonds are destroyed by the gold implantation. © 2012 American Institute of Physics.",,Codeposition; Depth range; Diamond-like carbon; DLC film; Gold nanoparticle formation; Gold Nanoparticles; High quality; Hydrogen-free DLC; Implanted samples; Ion energies; Nanoparticle sizes; Repetitive pulsing; Transmission electron microscope; Vacuum arc plasma; Carbon; Hydrogen; Ion implantation; Metal nanoparticles; Raman spectroscopy; Transmission electron microscopy; Vacuum applications; Vacuum technology; Gold
