Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Roberto Kalil Filho,Phase II study of paclitaxel associated with lipid core nanoparticles (LDE) as third-line treatment of patients with epithelial ovarian carcinoma,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026797616&doi=10.1007%2fs12032-017-1009-z&partnerID=40&md5=85bbb5429305656d8066cf2178b576b5,Universidade de Sâo Paulo - Faculdade de Medicina,"Ovarian cancer is often diagnosed at advanced stages, when poorly responsive to standard treatment. First-line treatment consists in schemes including cytoreductive surgery followed by adjuvant chemotherapy schemes with platinum and taxane derivatives. Second-line regimens are based on gemcitabine and liposomal doxorubicin. Third line is often not worthwhile because of the high toxicity with poor response to treatment. Previously, we showed that paclitaxel (PTX) carried in non-protein lipid core nanoparticles (LDE) resembling the chemical structure of LDL has remarkably reduced toxicity. Here, the hypothesis was tested whether PTX-LDE could safely benefit patients in third-line treatment setting. Fourteen women unresponsive to second-line chemotherapy for ovarian cancer, aged 61 ± 10 years, clinical stage IV and TqNqM1, were included. PTX-LDE was administered at 175 mg/m2, 3/3 week dose. Patients were submitted to clinical examinations before each chemotherapy cycle. Serum biochemistry and imaging examinations to monitor disease progression were performed. In total, 74 cycles of chemotherapy were done and, in all cycles, clinical or laboratorial toxicities were not observed. Median progression-free survival (PFS) was 3.0 months (95% CI 2.0–3.9). In four patients, PFS was &gt;6 months and in 2 &gt; 1 year. The unpreceded, striking absence of toxicity and consistently long PFS, compared to previous results, indicate that at least 4 among 14 patients had tumor arrest by the treatment and clear benefit of PTX-LDE at third-line setting. The absence of observable toxicity allows dose escalating to improve response to treatment, as perspective to be tested in the ensuing studies. © 2017, Springer Science+Business Media, LLC.",Drug delivery and cancer; Drug targeting and cancer; LDL receptors; Ovarian cancer treatment; Solid lipid particles,
Roberto Kalil Filho,Biomarker release after percutaneous coronary intervention in patients without established myocardial infarction as assessed by cardiac magnetic resonance with late gadolinium enhancement,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020072069&doi=10.1002%2fccd.27125&partnerID=40&md5=428fd6c97d874184c8d3dabcd3ad0d05,Universidade de Sâo Paulo - Faculdade de Medicina,"Objectives: This study aimed to evaluate the amount and pattern of cardiac biomarker release after elective percutaneous coronary intervention (PCI) in patients without evidence of a new myocardial infarction (MI) after the procedure as assessed by cardiac magnetic resonance (CMR) with late gadolinium enhancement (LGE). Background: The release of myocardial necrosis biomarkers after PCI frequently occurs. However, the correlation between biomarker release and the diagnosis of procedure-related MI type 4a has been controversial. Methods: Patients with normal baseline cardiac biomarkers who were referred for elective PCI were prospectively included. CMR with LGE was performed in all of the patients before and after the intervention. Measurements of troponin I (TnI) and creatine kinase MB fraction (CK-MB) were systematically performed before and after the procedure. Patients with a new LGE on the post-procedure CMR were excluded. Results: Of the 56 patients with no evidence of a procedure-related MI as assessed by CMR after the PCI, 48 (85.1%) exhibited an elevation of TnI above the 99th percentile. In 32 patients (57.1%), the peak was greater than five times this limit. Additionally, 17 patients (30.4%) had a CK-MB peak above the 99th percentile limit, but this peak was greater than five times the 99th percentile in only two patients (3.6%). The median peak release of TnI was 0.290 (0.061–1.09) ng/mL, which was 7.25-fold higher than the 99th percentile. Conclusions: In contrast to CK-MB, an abnormal release of TnI often occurs after an elective PCI procedure, despite the absence of a new LGE on CMR. © 2017 Wiley Periodicals, Inc.",cardiac magnetic resonance imaging; coronary artery disease; percutaneous coronary intervention; troponin,
Roberto Kalil Filho,Methotrexate carried in lipid core nanoparticles reduces myocardial infarction size and improves cardiac function in rats,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019927991&doi=10.2147%2fIJN.S129324&partnerID=40&md5=49431f061e9d82e4edc8d3f3c578e768,Universidade de Sâo Paulo - Faculdade de Medicina,"Purpose: Acute myocardial infarction (MI) is accompanied by myocardial inflammation, fibrosis, and ventricular remodeling that, when excessive or not properly regulated, may lead to heart failure. Previously, lipid core nanoparticles (LDE) used as carriers of the anti-inflammatory drug methotrexate (MTX) produced an 80-fold increase in the cell uptake of MTX. LDE-MTX treatment reduced vessel inflammation and atheromatous lesions induced in rabbits by cholesterol feeding. The aim of the study was to investigate the effects of LDE-MTX on rats with MI, compared with commercial MTX treatment. Materials and methods: Thirty-eight Wistar rats underwent left coronary artery ligation and were treated with LDE-MTX, or with MTX (1 mg/kg intraperitoneally, once/week, starting 24 hours after surgery) or with LDE without drug (MI-controls). A sham-surgery group (n=12) was also included. Echocardiography was performed 24 hours and 6 weeks after surgery. The animals were euthanized and their hearts were analyzed for morphometry, protein expression, and confocal microscopy. Results: LDE-MTX treatment achieved a 40% improvement in left ventricular (LV) systolic function and reduced cardiac dilation and LV mass, as shown by echocardiography. LDE-MTX reduced the infarction size, myocyte hypertrophy and necrosis, number of inflammatory cells, and myocardial fibrosis, as shown by morphometric analysis. LDE-MTX increased antioxidant enzymes; decreased apoptosis, macrophages, reactive oxygen species production; and tissue hypoxia in non-infarcted myocardium. LDE-MTX increased adenosine bioavailability in the LV by increasing adenosine receptors and modulating adenosine catabolic enzymes. LDE-MTX increased the expression of myocardial vascular endothelium growth factor (VEGF) associated with adenosine release; this correlated not only with an increase in angiogenesis, but also with other parameters improved by LDE-MTX, suggesting that VEGF increase played an important role in the beneficial effects of LDE-MTX. Overall effects of commercial MTX were minor, and did not improve LV function or infarction size. Both treatments did not induce any toxicity. Conclusion: The remarkable improvement in heart function and reduction in infarction size achieved by LDE-MTX supports future clinical trials. © 2017 Maranhão et al.",Adenosine; Drug delivery; Lipid particle; Myocardial infarction; VEGF,
Roberto Kalil Filho,Significant elevation of biomarkers of myocardial necrosis after coronary artery bypass grafting without myocardial infarction established assessed by cardiac magnetic resonance,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014126558&doi=10.1097%2fMD.0000000000006053&partnerID=40&md5=f665001ce654159b8070b0657f4cecfb,Universidade de Sâo Paulo - Faculdade de Medicina,"The release of myocardial necrosis biomarkers after off-pump coronary artery bypass grafting (OPCAB) frequently occurs. However, the correlation between biomarker release and the diagnosis of procedure-related myocardial infarction (MI) (type 5) has been controversial. This study aimed to evaluate the amount and pattern of cardiac biomarker release after elective OPCAB in patients without evidence of a new MI on cardiac magnetic resonance (CMR) imaging with late gadolinium enhancement (LGE).Patients with normal baseline cardiac biomarkers referred for elective OPCAB were prospectively included. CMR with LGE was performed in all patients before and after interventions. Measurements of troponin I (cTnI) and creatine kinase MB fraction (CK-MB) were systematically performed before and after the procedure. Patients with new LGE on the postprocedure CMR were excluded.All of the 53 patients without CMR evidence of a procedure-related MI after OPCAB exhibited a cTnI elevation peak above the 99th percentile. In 48 (91%), the peak value was >10 times this threshold. However, 41 (77%) had a CK-MB peak above the limit of the 99th percentile, and this peak was >10 times the 99th percentile in only 7 patients (13%). The median peak release of cTnI was 0.290 (0.8-3.7) ng/mL, which is 50-fold higher than the 99th percentile.In contrast with CK-MB, considerable cTnI release often occurs after an elective OPCAB procedure, despite the absence of new LGE on CMR.",,"biological marker; creatine kinase MB; troponin I; adverse effects; aged; blood; cardiac muscle; female; human; male; middle aged; necrosis; nuclear magnetic resonance imaging; off pump coronary surgery; pathology; prospective study; Aged; Biomarkers; Coronary Artery Bypass, Off-Pump; Creatine Kinase, MB Form; Female; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Myocardium; Necrosis; Prospective Studies; Troponin I"
Roberto Kalil Filho,Chagas' heart disease: gender differences in myocardial damage assessed by cardiovascular magnetic resonance,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997343311&doi=10.1186%2fs12968-016-0307-5&partnerID=40&md5=5618f22d88f28d6e4d9dce12ed19d7f3,Universidade de Sâo Paulo - Faculdade de Medicina,"Background: Since a male-related higher cardiovascular morbidity and mortality in patients with Chagas' heart disease has been reported, we aimed to investigate gender differences in myocardial damage assessed by cardiovascular magnetic resonance (CMR). Methods and results: Retrospectively, 62 seropositive Chagas' heart disease patients referred to CMR (1.5 T) and with low probability of having significant coronary artery disease were included in this analysis. Amongst both sexes, there was a strong negative correlation between LV ejection fraction and myocardial fibrosis (male r = 0.64, female r = 0.73, both P < 0.001), with males showing significantly greater myocardial fibrosis (P = 0.002) and lower LV ejection fraction (P < 0.001) than females. After adjustment for potential confounders, gender remained associated with myocardial dysfunction, and 53% of the effect was mediated by myocardial fibrosis (P for mediation = 0.004). Also, the transmural pattern was more prevalent among male patients (23.7 vs. 9.9%, P < 0.001) as well as the myocardial heterogeneity or gray zone (2.2 vs. 1.3 g, P = 0.003). Conclusions: We observed gender-related differences in myocardial damage assessed by CMR in patients with Chagas' heart disease. As myocardial fibrosis and myocardial dysfunction are associated to cardiovascular outcomes, our findings might help to understand the poorer prognosis observed in males in Chagas' disease. © 2016 The Author(s).",Chagas' heart disease; Gender differences; Myocardial dysfunction; Myocardial fibrosis,
Roberto Kalil Filho,Cardiac magnetic resonance-verified myocardial fibrosis in chagas disease: Clinical correlates and risk stratification,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994576208&doi=10.5935%2fabc.20160168&partnerID=40&md5=7369a5dcb35dc73595d4dcb54a48f761,Universidade de Sâo Paulo - Faculdade de Medicina,"Background: Chagas disease (CD) is an important cause of heart failure and mortality, mainly in Latin America. This study evaluated the morphological and functional characteristics of the heart as well the extent of myocardial fibrosis (MF) in patients with CD by cardiac magnetic resonance (CMR). The prognostic value of MF evaluated by myocardialdelayed enhancement (MDE) was compared with that via Rassi score. Methods: This study assessed 39 patients divided into 2 groups: 28 asymptomatic patients as indeterminate form group (IND); and symptomatic patients as Chagas Heart Disease (CHD) group. All patients underwent CMR using the techniques of cine-MRI and MDE, and the amount of MF was compared with the Rassi score. Results: Regarding the morphological and functional analysis, significant differences were observed between both groups (p < 0.001). Furthermore, there was a strong correlation between the extent of MF and the Rassi score (r = 0.76). Conclusions: CMR is an important technique for evaluating patients with CD, stressing morphological and functional differences in all clinical presentations. The strong correlation with the Rassi score and the extent of MF detected by CMR emphasizes its role in the prognostic stratification of patients with CD. © 2016, Arquivos Brasileiros de Cardiologia. All rights reserved.","Chagas cardiomyopathy; Chagas disease; Magnetic resonance spectroscopy; Risk factors, prognosis",
Roberto Kalil Filho,"Accuracy of Myocardial Biomarkers in the Diagnosis of Myocardial Infarction after Revascularization as Assessed by Cardiac Resonance: The Medicine, Angioplasty, Surgery Study v (MASS-V) Trial",2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964389678&doi=10.1016%2fj.athoracsur.2015.11.034&partnerID=40&md5=f860de550aa35659e0cb148a7f8728a2,Universidade de Sâo Paulo - Faculdade de Medicina,"Background The lack of a correlation between myocardial necrosis biomarkers and electrocardiographic abnormalities after revascularization procedures has resulted in a change in the myocardial infarction (MI) definition. Methods Patients with stable multivessel disease who underwent percutaneous or surgical revascularization were included. Electrocardiograms and concentrations of high-sensitive cardiac troponin I (cTnI) and creatine kinase (CK)-MB were assessed before and after procedures. Cardiac magnetic resonance and late gadolinium enhancement were performed before and after procedures. MI was defined as more than five times the 99th percentile upper reference limit for cTnI and 10 times for CK-MB in percutaneous coronary intervention (PCI) and coronary artery bypass grafting (CABG), respectively, and new late gadolinium enhancement for cardiac magnetic resonance. Results Of the 202 patients studied, 69 (34.1%) underwent on-pump CABG, 67 (33.2%) off-pump CABG, and 66 (32.7%) PCI. The receiver operating characteristic curve showed the accuracy of cTnI for on-pump CABG, off-pump CABG, and PCI patients was 21.7%, 28.3%, and 52.4% and for CK-MB was 72.5%, 81.2%, and 90.5%, respectively. The specificity of cTnI was 3.6%, 9.4%, and 42.1% and of CK-MB was 73.2%, 86.8%, and 96.4%, respectively. Sensitivity of cTnI was 100%, 100%, and 100% and of CK-MB was 69.2%, 64.3%, and 44.4%, respectively. The best cutoff of cTnI for on-pump CABG, off-pump CABG, and PCI was 6.5 ng/mL, 4.5 ng/mL, and 4.5 ng/mL (162.5, 112.5, and 112.5 times the 99th percentile upper reference limit) and of CK-MB was 37.5 ng/mL, 22.5 ng/mL, and 11.5 ng/mL (8.5, 5.1, and 2.6 times the 99th percentile upper reference limit), respectively. Conclusions Compared with cardiac magnetic resonance, CK-MB was more accurate than cTnI for diagnosing MI. These data suggest a higher troponin cutoff for the diagnosis of procedure-related MI. © 2016 The Society of Thoracic Surgeons.",,"biological marker; creatine kinase MB; gadolinium; troponin I; biological marker; creatine kinase MB; troponin I; adult; Article; cardiovascular magnetic resonance; coronary artery bypass graft; diagnostic accuracy; diagnostic test accuracy study; electrocardiogram; female; heart infarction; human; major clinical study; male; off pump coronary surgery; on pump coronary surgery; percutaneous coronary intervention; priority journal; prospective study; receiver operating characteristic; revascularization; sensitivity and specificity; vascular disease; adverse effects; aged; blood; cine magnetic resonance imaging; cohort analysis; comparative study; diagnostic imaging; middle aged; mortality; Myocardial Infarction; procedures; prognosis; retrospective study; severity of illness index; survival analysis; Aged; Biomarkers; Cohort Studies; Coronary Artery Bypass; Creatine Kinase, MB Form; Female; Humans; Magnetic Resonance Imaging, Cine; Male; Middle Aged; Myocardial Infarction; Percutaneous Coronary Intervention; Prognosis; Retrospective Studies; Sensitivity and Specificity; Severity of Illness Index; Survival Analysis; Troponin I"
Roberto Kalil Filho,Validation of coronary computed tomography angiography scores for non-invasive assessment of atherosclerotic burden through a comparison with multivessel intravascular ultrasound,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969405467&doi=10.1016%2fj.atherosclerosis.2016.01.040&partnerID=40&md5=407c396c18a665bb2dab0e5a5010fe2f,Universidade de Sâo Paulo - Faculdade de Medicina,"Aims: While the atherosclerotic plaque volume can be manually quantified in coronary computed tomography angiography (CTA) it is impractical for clinical routine use. Several anatomical scores have been developed as surrogates for overall atherosclerotic burden in coronary CTA and even proven to be highly predictive for future adverse events. However, they have not been validated against the gold standard for atherosclerotic burden, intra-vascular ultrasound (IVUS). In the present study we have compared several coronary CTA scores with the coronary IVUS. Methods and results: A total of 62 patients with diagnosed coronary disease scheduled for percutaneous intervention were prospectively enrolled. For all patients, coronary CTA and multivessel IVUS were obtained. Calcium score and 6 previously reported scores were calculated from coronary CTA imaging and compared to average IVUS-derived percent atheroma volume (PAV). On average, 3.8 ± 0.7 vessels, comprising 123.8 ± 31.3 mm in length, were imaged with IVUS per patient. All but one previously described scoring systems showed a significant association with IVUS-derived PAV. Among them, the SSS score demonstrated the strongest correlation with IVUS-PAV (r = 0.61, p < 0.001) and the greatest area under the ROC curve (C-statistic = 0.87), to predict a high PAV. Conclusions: Most frequently used coronary CTA scores have a good correlation with global coronary atherosclerotic burden measured by multivessel IVUS derived atheroma volume. Among them, the SSS score shows the best performance being a good non-invasive alternative to IVUS for global coronary atherosclerotic burden assessment. © 2016 Elsevier Ireland Ltd.",Atherosclerosis; Computed tomography; Coronary disease; Intravascular ultrasound,"glyceryl trinitrate; adult; angiocardiography; angiography device; area under the curve; Article; atheroma; cardiovascular disease assessment; comparative study; computed tomographic angiography; computed tomography scanner; coronary artery atherosclerosis; coronary artery calcium score; coronary artery disease; correlation analysis; female; Friesinger score; Gensini score; high risk population; human; intravascular ultrasound; intravascular ultrasound catheter; Leaman score; major clinical study; male; middle aged; multidetector computed tomography; percutaneous coronary intervention; priority journal; prospective study; receiver operating characteristic; secondary prevention; aged; atherosclerotic plaque; blood vessel calcification; coronary angiography; coronary artery disease; coronary blood vessel; diagnostic imaging; interventional ultrasonography; predictive value; procedures; reproducibility; severity of illness index; validation study; Aged; Area Under Curve; Computed Tomography Angiography; Coronary Angiography; Coronary Artery Disease; Coronary Vessels; Female; Humans; Male; Middle Aged; Plaque, Atherosclerotic; Predictive Value of Tests; Prospective Studies; Reproducibility of Results; ROC Curve; Severity of Illness Index; Ultrasonography, Interventional; Vascular Calcification"
Roberto Kalil Filho,Effect of Perioperative Goal-Directed Hemodynamic Resuscitation Therapy on Outcomes Following Cardiac Surgery: A Randomized Clinical Trial and Systematic Review,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949438854&doi=10.1097%2fCCM.0000000000001479&partnerID=40&md5=1bcb1193b0be04a095e274a15f5327f3,Universidade de Sâo Paulo - Faculdade de Medicina,"Objectives: To evaluate the effects of goal-directed therapy on outcomes in high-risk patients undergoing cardiac surgery. Design: A prospective randomized controlled trial and an updated metaanalysis of randomized trials published from inception up to May 1, 2015. Setting: Surgical ICU within a tertiary referral university-affiliated teaching hospital. Patients: One hundred twenty-six high-risk patients undergoing coronary artery bypass surgery or valve repair. Interventions: Patients were randomized to a cardiac output-guided hemodynamic therapy algorithm (goal-directed therapy group, n = 62) or to usual care (n = 64). In the goal-directed therapy arm, a cardiac index of greater than 3 L/min/m2 was targeted with IV fluids, inotropes, and RBC transfusion starting from cardiopulmonary bypass and ending 8 hours after arrival to the ICU. Measurements and Main Results: The primary outcome was a composite endpoint of 30-day mortality and major postoperative complications. Patients from the goal-directed therapy group received a greater median (interquartile range) volume of IV fluids than the usual care group (1,000 [625-1,500] vs 500 [500-1,000] mL; p &lt; 0.001], with no differences in the administration of either inotropes or RBC transfusions. The primary outcome was reduced in the goal-directed therapy group (27.4% vs 45.3%; p = 0.037). The goal-directed therapy group had a lower occurrence rate of infection (12.9% vs 29.7%; p = 0.002) and low cardiac output syndrome (6.5% vs 26.6%; p = 0.002). We also observed lower ICU cumulative dosage of dobutamine (12 vs 19 mg/kg; p = 0.003) and a shorter ICU (3 [3-4] vs 5 [4-7] d; p &lt; 0.001) and hospital length of stay (9 [8-16] vs 12 [9-22] d; p = 0.049) in the goal-directed therapy compared with the usual care group. There were no differences in 30-day mortality rates (4.8% vs 9.4%, respectively; p = 0.492). The metaanalysis identified six trials and showed that, when compared with standard treatment, goal-directed therapy reduced the overall rate of complications (goal-directed therapy, 47/410 [11%] vs usual care, 92/415 [22%]; odds ratio, 0.40 [95% CI, 0.26-0.63]; p &lt; 0.0001) and decreased the hospital length of stay (mean difference,-5.44 d; 95% CI,-9.28 to-1.60; p = 0.006) with no difference in postoperative mortality: 9 of 410 (2.2%) versus 15 of 415 (3.6%), odds ratio, 0.61 (95% CI, 0.26-1.47), and p = 0.27. Conclusions: Goal-directed therapy using fluids, inotropes, and blood transfusion reduced 30-day major complications in high-risk patients undergoing cardiac surgery. © 2016 by the Society of Critical Care Medicine and Wolters Kluwer Health, Inc. All Rights Reserved.",cardiac surgery; goal-directed; hemodynamic; resuscitation,"dobutamine; infusion fluid; inotropic agent; beta 1 adrenergic receptor stimulating agent; dobutamine; clinical evaluation; confidence interval; coronary artery bypass surgery; erythrocyte transfusion; event free survival; forward heart failure; goal directed therapy; heart output; heart surgery; heart valve surgery; hemodynamic resuscitation therapy; hemodynamics; high risk patient; hospitalization; human; intensive care unit; length of stay; meta analysis; outcome assessment; perioperative period; postoperative complication; postoperative infection; priority journal; prospective study; randomized controlled trial (topic); Review; surgical mortality; systematic review; teaching hospital; treatment outcome; aged; controlled study; female; fluid therapy; heart surgery; hemodynamics; literature; male; meta analysis (topic); middle aged; mortality; physiology; Postoperative Complications; procedures; randomized controlled trial; very elderly; Adrenergic beta-1 Receptor Agonists; Aged; Aged, 80 and over; Cardiac Output; Cardiac Surgical Procedures; Dobutamine; Female; Fluid Therapy; Hemodynamics; Humans; Intensive Care Units; Length of Stay; Male; Meta-Analysis as Topic; Middle Aged; Postoperative Complications; Review Literature as Topic; Treatment Outcome"
Roberto Kalil Filho,"Preprocedural statin therapy, inflammation, and myocardial injury in low-risk stable coronary artery disease patients submitted to coronary stent implantation",2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959567297&doi=10.1002%2fccd.24937&partnerID=40&md5=ddc18507260edf8ee5c73e854f0de3cf,Universidade de Sâo Paulo - Faculdade de Medicina,"Objective Evaluate if statin therapy prior to elective coronary stent implantation (CSI) reduces the plasma levels of markers of inflammation and of myocardial necrosis in low-risk stable coronary artery disease patients (CAD). Background The elevation of markers of inflammation and of myocardial necrosis after percutaneous coronary intervention may interfere with clinical outcome. Among acute coronary syndrome patients, statins improve clinical outcomes when used before CSI - mostly due to reduction of CSI-related myocardial infarction. However, little is known concerning preprocedural statin therapy on the reduction of these markers in stable patients at low-risk. Methods In this prospective, observational study, 100 patients (n = 50 on statin therapy vs. n = 50 not on statin) with stable coronary artery disease underwent elective CSI. Inflammatory (C-reactive protein [CRP], interleukin [IL]-6, tumor necrosis factor-α and matrix metalloproteinase-9) and myocardial necrosis markers (troponin I and CK-MB) were determined before and 24 hr after CSI. Results All patients presented a significant increase of CRP and IL-6 after CSI. However, this increase was attenuated in patients on statin therapy prior to CSI than those without statin therapy: 75% vs. 150% (P < 0.001) and 192% vs. 300% (P < 0.01). The other pro-inflammatory markers were similar for both sets of patients. Troponin I and CK-MB did not change after CSI regardless of previous statin therapy or not. Conclusions Pretreatment with statin attenuates procedural inflammation, denoted by markedly lower increases of CRP and IL-6 levels, in elective CSI within low-risk stable CAD patients. Periprocedural myocardial injury was irrelevant and was not affected by preprocedural statin therapy in this population. © 2015 Wiley Periodicals, Inc.",coronary stent implantation; inflammatory markers; myocardial damage; stable coronary artery disease; statin,"acetylsalicylic acid; atorvastatin; C reactive protein; clopidogrel; creatine kinase MB; ezetimibe plus simvastatin; hydroxymethylglutaryl coenzyme A reductase inhibitor; interleukin 6; rosuvastatin; simvastatin; troponin I; antiinflammatory agent; autacoid; biological marker; C reactive protein; creatine kinase MB; hydroxymethylglutaryl coenzyme A reductase inhibitor; IL6 protein, human; interleukin 6; troponin I; adult; Article; blood sampling; clinical article; controlled study; coronary artery disease; coronary stenting; female; heart muscle injury; heart muscle necrosis; human; inflammation; loading drug dose; low risk patient; male; observational study; preoperative treatment; prospective study; adverse effects; aged; blood; cardiac muscle; coronary artery disease; devices; metabolism; middle aged; necrosis; pathology; percutaneous coronary intervention; risk factor; stent; treatment outcome; Aged; Anti-Inflammatory Agents; Biomarkers; C-Reactive Protein; Coronary Artery Disease; Creatine Kinase, MB Form; Female; Humans; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Inflammation Mediators; Interleukin-6; Male; Middle Aged; Myocardium; Necrosis; Percutaneous Coronary Intervention; Prospective Studies; Risk Factors; Stents; Treatment Outcome; Troponin I"
