Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Ludhmila Abrahão Hajjar,Cerebral hemodynamics with intra-aortic balloon pump: Business as usual?,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021693017&doi=10.1088%2f1361-6579%2faa68c4&partnerID=40&md5=dc576149dafac2fe5e689de894446cba,Universidade de São Paulo - Faculdade de Medicina,"Objective: Intra-aortic balloon pump (IABP) is commonly used as mechanical support after cardiac surgery or cardiac shock. Although its benefits for cardiac function have been well documented, its effects on cerebral circulation are still controversial. We hypothesized that transfer function analysis (TFA) and continuous estimates of dynamic cerebral autoregulation (CA) provide consistent results in the assessment of cerebral autoregulation in patients with IABP. Approach: Continuous recordings of blood pressure (BP, intra-arterial line), end-tidal CO2, heart rate and cerebral blood flow velocity (CBFV, transcranial Doppler) were obtained (i) 5 min with IABP ratio 1:3, (ii) 5 min, starting 1 min with the IABP-ON, and continuing for another 4 min without pump assistance (IABP-OFF). Autoregulation index (ARI) was estimated from the CBFV response to a step change in BP derived by TFA and as a function of time using an autoregressive moving-average model during removal of the device (ARIt). Critical closing pressure and resistance area-product were also obtained. Main results: ARI with IABP-ON (4.3 1.2) were not different from corresponding values at IABP-OFF (4.7 1.4, p = 0.42). Removal of the balloon had no effect on ARIt, CBFV, BP, cerebral critical closing pressure or resistance area-product. Significance: IABP does not disturb cerebral hemodynamics. TFA and continuous estimates of dynamic CA can be used to assess cerebral hemodynamics in patients with IABP. These findings have important implications for the design of studies of critically ill patients requiring the use of different invasive support devices. © 2017 Institute of Physics and Engineering in Medicine.",autoregulation index; cerebral blood flow velocity; dynamic cerebral autoregulation; intra-aortic balloon pump; transcranial doppler ultrasound,
Ludhmila Abrahão Hajjar,Liberal versus restrictive transfusion strategy in critically III oncologic patients: The transfusion requirements in critically III oncologic patients randomized controlled trial,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014043870&doi=10.1097%2fCCM.0000000000002283&partnerID=40&md5=38a2bc28f3487505ed79736922b681ec,Universidade de São Paulo - Faculdade de Medicina,"Objective: To assess whether a restrictive strategy of RBC transfusion reduces 28-day mortality when compared with a liberal strategy in cancer patients with septic shock. Design: Single center, randomized, double-blind controlled trial. Setting: Teaching hospital. Patients: Adult cancer patients with septic shock in the first 6 hours of ICU admission. Interventions: Patients were randomized to the liberal (hemoglobin threshold, < 9 g/dL) or to the restrictive strategy (hemoglobin threshold, < 7 g/dL) of RBC transfusion during ICU stay. Measurements and Main Results: Patients were randomized to the liberal (n = 149) or to the restrictive transfusion strategy (n = 151) group. Patients in the liberal group received more RBC units than patients in the restrictive group (1 [0-3] vs 0 [0-2] unit; p < 0.001). At 28 days after randomization, mortality rate in the liberal group (primary endpoint of the study) was 45% (67 patients) versus 56% (84 patients) in the restrictive group (hazard ratio, 0.74; 95% CI, 0.53-1.04; p = 0.08) with no differences in ICU and hospital length of stay. At 90 days after randomization, mortality rate in the liberal group was lower (59% vs 70%) than in the restrictive group (hazard ratio, 0.72; 95% CI, 0.53-0.97; p = 0.03). Conclusions: We observed a survival trend favoring a liberal transfusion strategy in patients with septic shock when compared with the restrictive strategy. These results went in the opposite direction of the a priori hypothesis and of other trials in the field and need to be confirmed. © 2017 by the Society of Critical Care Medicine and Wolters Kluwer Health, Inc. All Rights Reserved.",Critically ill oncology; Intensive care; Randomized controlled trial; Transfusion,"aged; controlled study; critical illness; double blind procedure; erythrocyte transfusion; female; human; intensive care; intensive care unit; length of stay; middle aged; mortality; Neoplasms; procedures; proportional hazards model; randomized controlled trial; severity of illness index; Shock, Septic; statistics and numerical data; time factor; university hospital; Aged; Critical Care; Critical Illness; Double-Blind Method; Erythrocyte Transfusion; Female; Hospitals, University; Humans; Intensive Care Units; Length of Stay; Middle Aged; Neoplasms; Proportional Hazards Models; Severity of Illness Index; Shock, Septic; Time Factors"
Ludhmila Abrahão Hajjar,Effect of intensive vs moderate alveolar recruitment strategies added to lung-protective ventilation on postoperative pulmonary complications a randomized clinical trial,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017505328&doi=10.1001%2fjama.2017.2297&partnerID=40&md5=3e7f7c3d55ae574dd4754ff17cfa118a,Universidade de São Paulo - Faculdade de Medicina,"IMPORTANCE Perioperative lung-protective ventilation has been recommended to reduce pulmonary complications after cardiac surgery. The protective role of a small tidal volume (VT) has been established, whereas the added protection afforded by alveolar recruiting strategies remains controversial. OBJECTIVE To determine whether an intensive alveolar recruitment strategy could reduce postoperative pulmonary complications, when added to a protective ventilation with small VT. DESIGN, SETTING, AND PARTICIPANTS Randomized clinical trial of patients with hypoxemia after cardiac surgery at a single ICU in Brazil (December 2011-2014). INTERVENTIONS Intensive recruitment strategy (n=157) or moderate recruitment strategy (n=163) plus protective ventilation with small VT. MAIN OUTCOMES AND MEASURES Severity of postoperative pulmonary complications computed until hospital discharge, analyzed with a common odds ratio (OR) to detect ordinal shift in distribution of pulmonary complication severity score (0-To-5 scale, 0, no complications; 5, death). Prespecified secondary outcomes were length of stay in the ICU and hospital, incidence of barotrauma, and hospital mortality. RESULTS All 320 patients (median age, 62 years; IQR, 56-69 years; 125 women [39%]) completed the trial. The intensive recruitment strategy group had a mean 1.8 (95%CI, 1.7 to 2.0) and a median 1.7 (IQR, 1.0-2.0) pulmonary complications score vs 2.1 (95%CI, 2.0-2.3) and 2.0 (IQR, 1.5-3.0) for the moderate strategy group. Overall, the distribution of primary outcome scores shifted consistently in favor of the intensive strategy, with a common OR for lower scores of 1.86 (95%CI, 1.22 to 2.83; P = .003). The mean hospital stay for the moderate group was 12.4 days vs 10.9 days in the intensive group (absolute difference, 1.5 days; 95% CI, 3.1 to 0.3; P = .04). The mean ICU stay for the moderate group was 4.8 days vs 3.8 days for the intensive group (absolute difference, 1.0 days; 95%CI, 1.6 to 0.2; P = .01). Hospital mortality (2.5%in the intensive group vs 4.9% in the moderate group; absolute difference, 2.4%, 95%CI, 7.1%to 2.2%) and barotrauma incidence (0% in the intensive group vs 0.6% in the moderate group; absolute difference, 0.6%; 95%CI, 1.8%to 0.6%; P = .51) did not differ significantly between groups. CONCLUSIONS AND RELEVANCE Among patients with hypoxemia after cardiac surgery, the use of an intensive vs a moderate alveolar recruitment strategy resulted in less severe pulmonary complications while in the hospital.",,"adult; aged; Article; artificial ventilation; barotrauma; Brazil; continuous ventilator; controlled study; coronary artery bypass graft; disease severity; female; heart valve surgery; hospital mortality; human; hypoxemia; intensive alveolar recruitment strategy; intensive care unit; length of stay; lung disease; lung protective ventilation; major clinical study; male; moderate alveolar recruitment strategy; postoperative complication; randomized controlled trial; therapy effect; tidal volume; adverse effects; artificial ventilation; barotrauma; blood pressure; heart rate; heart surgery; hypoxia; incidence; intensive care; lung alveolus; Lung Diseases; middle aged; odds ratio; oxygen therapy; partial pressure; physiology; positive end expiratory pressure; Postoperative Complications; procedures; severity of illness index; statistics and numerical data; Aged; Barotrauma; Blood Pressure; Cardiac Surgical Procedures; Critical Care; Female; Heart Rate; Hospital Mortality; Humans; Hypoxia; Incidence; Length of Stay; Lung Diseases; Male; Middle Aged; Odds Ratio; Oxygen Inhalation Therapy; Partial Pressure; Positive-Pressure Respiration; Postoperative Complications; Pulmonary Alveoli; Respiration, Artificial; Severity of Illness Index; Tidal Volume"
Ludhmila Abrahão Hajjar,Randomized Evidence for Reduction of Perioperative Mortality: An Updated Consensus Process,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008689675&doi=10.1053%2fj.jvca.2016.07.017&partnerID=40&md5=fa0838727bf7098bd097743851d927ff,Universidade de São Paulo - Faculdade de Medicina,"Objective Of the 230 million patients undergoing major surgical procedures every year, more than 1 million will die within 30 days. Thus, any nonsurgical interventions that help reduce perioperative mortality might save thousands of lives. The authors have updated a previous consensus process to identify all the nonsurgical interventions, supported by randomized evidence, that may help reduce perioperative mortality. Design and Setting A web-based international consensus conference. Participants The study comprised 500 clinicians from 61 countries. Interventions A systematic literature search was performed to identify published literature about nonsurgical interventions, supported by randomized evidence, showing a statistically significant impact on mortality. A consensus conference of experts discussed eligible papers. The interventions identified by the conference then were submitted to colleagues worldwide through a web-based survey. Measurements and Main Results The authors identified 11 interventions contributing to increased survival (perioperative hemodynamic optimization, neuraxial anesthesia, noninvasive ventilation, tranexamic acid, selective decontamination of the gastrointestinal tract, insulin for tight glycemic control, preoperative intra-aortic balloon pump, leuko-depleted red blood cells transfusion, levosimendan, volatile agents, and remote ischemic preconditioning) and 2 interventions showing increased mortality (beta-blocker therapy and aprotinin). Interventions then were voted on by participating clinicians. Percentages of agreement among clinicians in different countries differed significantly for 6 interventions, and a variable gap between evidence and clinical practice was noted. Conclusions The authors identified 13 nonsurgical interventions that may decrease or increase perioperative mortality, with variable agreement by clinicians. Such interventions may be optimal candidates for investigation in high-quality trials and discussion in international guidelines to reduce perioperative mortality. © 2017 Elsevier Inc.",anesthesia; consensus; intensive care; mortality; perioperative care,
Ludhmila Abrahão Hajjar,Atorvastatin for high-risk statin-naïve patients undergoing noncardiac surgery: The Lowering the Risk of Operative Complications Using Atorvastatin Loading Dose (LOAD) randomized trial,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997706111&doi=10.1016%2fj.ahj.2016.11.001&partnerID=40&md5=e598f344d0c2d9662bd496ca36c465f8,Universidade de São Paulo - Faculdade de Medicina,"Preliminary evidence suggests that statins may prevent major perioperative vascular complications. Methods We randomized 648 statin-naïve patients who were scheduled for noncardiac surgery and were at risk for a major vascular complication. Patients were randomized to a loading dose of atorvastatin or placebo (80 mg anytime within 18 hours before surgery), followed by a maintenance dose of 40 mg (or placebo), started at least 12 hours after the surgery, and then 40 mg/d (or placebo) for 7 days. The primary outcome was a composite of all-cause mortality, nonfatal myocardial injury after noncardiac surgery, and stroke at 30 days. Results The primary outcome was observed in 54 (16.6%) of 326 patients in the atorvastatin group and 59 (18.7%) of 316 patients in the placebo group (hazard ratio [HR] 0.87, 95% CI 0.60-1.26, P = .46). No significant effect was observed on the 30-day secondary outcomes of all-cause mortality (4.3% vs 4.1%, respectively; HR 1.14, 95% CI 0.53-2.47, P = .74), nonfatal myocardial infarction (3.4% vs 4.4%, respectively; HR 0.76, 95% CI 0.35-1.68, P = .50), myocardial injury after noncardiac surgery (13.2% vs 16.5%; HR 0.79, 95% CI 0.53-1.19, P = .26), and stroke (0.9% vs 0%, P = .25). Conclusion In contrast to the prior observational and trial data, the LOAD trial has neutral results and did not demonstrate a reduction in major cardiovascular complications after a short-term perioperative course of statin in statin-naïve patients undergoing noncardiac surgery. We demonstrated, however, that a large multicenter blinded perioperative statin trial for high-risk statin-naïve patients is feasible and should be done to definitely establish the efficacy and safety of statin in this patient population. © 2016",,"acetylsalicylic acid; atorvastatin; beta adrenergic receptor blocking agent; calcium antagonist; clonidine; clopidogrel; dipeptidyl carboxypeptidase inhibitor; fibric acid derivative; insulin; low molecular weight heparin; nitric acid derivative; placebo; warfarin; atorvastatin; hydroxymethylglutaryl coenzyme A reductase inhibitor; troponin; aged; Article; cerebrovascular accident; controlled study; drug efficacy; drug safety; female; heart muscle injury; high risk population; human; loading drug dose; major clinical study; major surgery; male; mortality; multicenter study; outcome assessment; postoperative complication; priority journal; randomized controlled trial; blood; clinical trial; electrocardiography; middle aged; Myocardial Infarction; Myocardial Ischemia; perioperative period; Postoperative Complications; procedures; proportional hazards model; risk assessment; Stroke; surgery; Aged; Atorvastatin Calcium; Electrocardiography; Female; Humans; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Male; Middle Aged; Myocardial Infarction; Myocardial Ischemia; Perioperative Care; Postoperative Complications; Proportional Hazards Models; Risk Assessment; Stroke; Surgical Procedures, Operative; Troponin"
Ludhmila Abrahão Hajjar,Guidelines for the management of neuroendocrine tumours by the Brazilian gastrointestinal tumour group,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012897935&doi=10.3332%2fecancer.2017.716&partnerID=40&md5=c66ca4ce53ac27a49e0519208ebedc26,Universidade de São Paulo - Faculdade de Medicina,"Neuroendocrine tumours are a heterogeneous group of diseases with a significant variety of diagnostic tests and treatment modalities. Guidelines were developed by North American and European groups to recommend their best management. However, local particularities and relativisms found worldwide led us to create Brazilian guidelines. Our consensus considered the best feasible strategies in an environment involving more limited resources. We believe that our recommendations may be extended to other countries with similar economic standards. © 2017 the authors.",Cancer; Chemotherapy; Guideline; Neuroendcrine tumours; Radionuclide peptide therapy; Targeted therapy,5 hydroxyindoleacetic acid; alpha interferon; chromogranin A; everolimus; fluorine 18; fluorodeoxyglucose; gallium 68; gastrin; insulin; radioisotope; somatostatin derivative; sunitinib; bone metastasis; Brazilian; cancer chemotherapy; cancer of unknown primary site; carcinoid syndrome; chemoembolization; computer assisted tomography; cytoreductive surgery; diagnostic imaging; duodenum tumor; endoscopic ultrasonography; follow up; gastrointestinal tumor; glycemic control; histopathology; human; inoperable cancer; insulinoma; liver graft; liver metastasis; molecularly targeted therapy; neuroendocrine tumor; pancreas tumor; positron emission tomography; practice guideline; radioembolization; radiofrequency ablation; Review; tumor biopsy; watchful waiting; whole body MRI
Ludhmila Abrahão Hajjar,Frequency of Deep Vein Thrombosis and/or Pulmonary Embolism After Coronary Artery Bypass Grafting Investigation Regardless of Clinical Suspicion,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006173189&doi=10.1016%2fj.amjcard.2016.09.056&partnerID=40&md5=6d2bddd5127f098c80ecbc34324c7447,Universidade de São Paulo - Faculdade de Medicina,"Venous thromboembolism (VTE) includes deep vein thrombosis (DVT) and/or pulmonary embolism (PE). Many surgeons and clinicians believe that VTE after coronary artery bypass grafting (CABG) has little clinical significance because it is seldom diagnosed. This study aimed to identify VTE after CABG, independent of clinical suspicion. In this prospective, observational, single-center study, 100 patients underwent computed tomographic pulmonary angiography (multidetector-64) and lower extremity venous compressive ultrasound after elective CABG. Patients with high risk for VTE were excluded. Aspirin was maintained throughout the preoperative and postoperative periods, and early ambulation was encouraged. Postoperatively, no mechanical or heparin prophylaxis was used in any patients. At the discretion of the surgeons, 83 surgeries were on-pump, and 17 were off-pump. On average, tomography and ultrasound were performed 7 ± 3 days after CABG. Isolated PE was observed in 13 of 100 patients (13%), simultaneous PE and DVT in 8 of 100 (8%), and isolated DVT in 4 of 100 (4%), thus totaling 25/100 VTEs (25%). Of the 21 PEs, 3 of 21 (14%) involved subsegmental, 15 of 21 (71%) segmental, 1 of 21 (5%) lobar, and 2 of 21 (10%) central pulmonary arteries. Of the 12 DVTs, all were distal (below the popliteal vein), and 2 of 12 (17%) were also proximal; 5 of 12 (42%) were unilateral, of which 3 of 5 (60%) on the contralateral saphenous vein-harvested leg. No VTE caused hemodynamic instability, and none was clinically suspected. In conclusion, VTEs were frequent, some extensive proximal VTEs occurred, but most were distally localized. Many patients in this series would have been discharged without diagnosis of and treatment for PE and/or DVT. © 2016 Elsevier Inc.",,acetylsalicylic acid; adult; aged; Article; body mass; cardiac patient; cardiopulmonary bypass; cardiovascular risk; computed tomographic angiography; computed tomography scanner; coronary artery bypass graft; deep vein thrombosis; female; hospitalization; human; intensive care unit; lung angiography; lung embolism; major clinical study; male; multidetector computed tomography; observational study; off pump coronary surgery; postoperative complication; postoperative period; preoperative period; priority journal; prospective study; surgical patient; thrombosis prevention; adverse effects; coronary artery bypass graft; coronary artery disease; diagnostic imaging; echography; middle aged; Pulmonary Embolism; Venous Thrombosis; Aged; Computed Tomography Angiography; Coronary Artery Bypass; Coronary Artery Disease; Female; Humans; Male; Middle Aged; Prospective Studies; Pulmonary Embolism; Ultrasonography; Venous Thrombosis
Ludhmila Abrahão Hajjar,Cerebral blood flow autoregulation in ischemic heart failure,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009932458&doi=10.1152%2fajpregu.00361.2016&partnerID=40&md5=5d12b9d4ed3028019d3ce8c36da255c2,Universidade de São Paulo - Faculdade de Medicina,"Patients with ischemic heart failure (iHF) have a high risk of neurological complications such as cognitive impairment and stroke. We hypothesized that iHF patients have a higher incidence of impaired dynamic cerebral autoregulation (dCA). Adult patients with iHF and healthy volunteers were included. Cerebral blood flow velocity (CBFV, transcranial Doppler, middle cerebral artery), end-tidal CO2 (capnography), and arterial blood pressure (Finometer) were continuously recorded supine for 5 min at rest. Autoregulation index (ARI) was estimated from the CBFV step response derived by transfer function analysis using standard template curves. Fifty-two iHF patients and 54 age-, gender-, and BP-matched healthy volunteers were studied. Echocardiogram ejection fraction was 40 (20–45) % in iHF group. iHF patients compared with control subjects had reduced end-tidal CO2 (34.1 ± 3.7 vs. 38.3 ± 4.0 mmHg, P ± 0.001) and lower ARI values (5.1 ± 1.6 vs. 5.9 ± 1.0, P ± 0.012). ARI &lt; 4, suggestive of impaired CA, was more common in iHF patients (28.8 vs. 7.4%, P ± 0.004). These results confirm that iHF patients are more likely to have impaired dCA compared with age-matched controls. The relationship between impaired dCA and neurological complications in iHF patients deserves further investigation. © 2017 the American Physiological Society.",Autoregulation index; Cerebral blood flow; Dynamic cerebral autoregulation; Transcranial Doppler; Transfer function analysis,adult; arterial pressure; Article; autoregulation; blood flow velocity; brain blood flow; capnometry; end tidal carbon dioxide tension; female; heart ejection fraction; heart failure; human; ischemic heart disease; ischemic heart failure; major clinical study; male; middle aged; middle cerebral artery; priority journal; transcranial Doppler ultrasonography; brain circulation; Cerebrovascular Disorders; complication; heart failure; heart muscle ischemia; homeostasis; pathophysiology; Blood Flow Velocity; Cerebrovascular Circulation; Cerebrovascular Disorders; Female; Heart Failure; Homeostasis; Humans; Male; Middle Aged; Myocardial Ischemia
Ludhmila Abrahão Hajjar,Vasopressin versus Norepinephrine in Patients with Vasoplegic Shock after Cardiac Surgery,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995450911&doi=10.1097%2fALN.0000000000001434&partnerID=40&md5=aefd63f3d52b0bddfae241d868c9011d,Universidade de São Paulo - Faculdade de Medicina,"Background: Vasoplegic syndrome is a common complication after cardiac surgery and impacts negatively on patient outcomes. The objective of this study was to evaluate whether vasopressin is superior to norepinephrine in reducing postoperative complications in patients with vasoplegic syndrome. Methods: This prospective, randomized, double-blind trial was conducted at the Heart Institute, University of Sao Paulo, Sao Paulo, Brazil, between January 2012 and March 2014. Patients with vasoplegic shock (defined as mean arterial pressure less than 65 mmHg resistant to fluid challenge and cardiac index greater than 2.2 l · min -2 · m -2) after cardiac surgery were randomized to receive vasopressin (0.01 to 0.06 U/min) or norepinephrine (10 to 60 μg/min) to maintain arterial pressure. The primary endpoint was a composite of mortality or severe complications (stroke, requirement for mechanical ventilation for longer than 48 h, deep sternal wound infection, reoperation, or acute renal failure) within 30 days. Results: A total of 330 patients were randomized, and 300 were infused with one of the study drugs (vasopressin, 149; norepinephrine, 151). The primary outcome occurred in 32% of the vasopressin patients and in 49% of the norepinephrine patients (unadjusted hazard ratio, 0.55; 95% CI, 0.38 to 0.80; P = 0.0014). Regarding adverse events, the authors found a lower occurrence of atrial fibrillation in the vasopressin group (63.8% vs. 82.1%; P = 0.0004) and no difference between groups in the rates of digital ischemia, mesenteric ischemia, hyponatremia, and myocardial infarction. Conclusions: The authors' results suggest that vasopressin can be used as a first-line vasopressor agent in postcardiac surgery vasoplegic shock and improves clinical outcomes. © 2016 the American Society of Anesthesiologists, Inc. Wolters Kluwer Health, Inc. All Rights Reserved.",,noradrenalin; vasoconstrictor agent; vasopressin derivative; Brazil; comparative study; complication; controlled study; double blind procedure; female; heart surgery; human; male; middle aged; Postoperative Complications; prospective study; randomized controlled trial; shock; treatment outcome; vasoplegia; Brazil; Cardiac Surgical Procedures; Double-Blind Method; Female; Humans; Male; Middle Aged; Norepinephrine; Postoperative Complications; Prospective Studies; Shock; Treatment Outcome; Vasoconstrictor Agents; Vasoplegia; Vasopressins
Ludhmila Abrahão Hajjar,Complete treatment versus residual lesion - long-term evolution after acute coronary syndrome,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009438168&doi=10.5935%2fabc.20160176&partnerID=40&md5=1b38a05cab0537139ee22a558afcc5fe,Universidade de São Paulo - Faculdade de Medicina,"Introduction: A recently published study raised doubts about the need for percutaneous treatment of nonculprit lesions in patients with acute coronary syndromes (ACS). Methods: Retrospective, unicentric, observational study. Objective: To analyze the long-term outcomes in patients undergoing treatment of the culprit artery, comparing those who remained with significant residual lesions in nonculprit arteries (group I) versus those without residual lesions in other coronary artery beds (group II). The study included 580 patients (284 in group I and 296 in group II) between May 2010 and May 2013. We obtained demographic and clinical data, as well as information regarding the coronary treatment administered to the patients. In the statistical analysis, the primary outcome included combined events (reinfarction/ angina, death, heart failure, and need for reintervention). The comparison between groups was performed using the chisquare test and ANOVA. The long-term analysis was conducted with the Kaplan-Meier method, with a mean follow-up of 9.86 months. Results: The mean ages were 63 years in group I and 62 years in group II. On long-term follow-up, there was no significant difference in combined events in groups I and II (31.9% versus 35.6%, respectively, p = 0.76). Conclusion: The strategy of treating the culprit artery alone seems safe. In this study, no long-term differences in combined endpoints were observed between patients who remained with significant lesions compared with those without other obstructions. © 2016, Arquivos Brasileiros de Cardiologia. All rights reserved.",Acute coronary syndrome; Clinical evolution; Long term; Memory; Myocardial infarction; Treatment,"acetylsalicylic acid; beta adrenergic receptor blocking agent; clopidogrel; dipeptidyl carboxypeptidase inhibitor; enoxaparin; hydroxymethylglutaryl coenzyme A reductase inhibitor; tirofiban; troponin; acute coronary syndrome; adult; analysis of variance; Article; comparative study; controlled study; coronary artery bypass graft; creatinine blood level; demography; evaluation and follow up; evolution; female; heart left ventricle ejection fraction; heart reinfarction; hospitalization; human; Kaplan Meier method; long term care; major clinical study; male; middle aged; observational study; outcome assessment; retrospective study; systolic blood pressure; thorax pain; acute coronary syndrome; aged; disease course; heart muscle revascularization; mortality; nonparametric test; percutaneous coronary intervention; procedures; risk factor; time factor; treatment outcome; Acute Coronary Syndrome; Aged; Analysis of Variance; Disease Progression; Female; Humans; Male; Middle Aged; Myocardial Revascularization; Percutaneous Coronary Intervention; Retrospective Studies; Risk Factors; Statistics, Nonparametric; Time Factors; Treatment Outcome"
