Author,Title,Year,Link,Affiliation,Abstract,Author Keywords,Index Keywords
Márcio Sommer Bittencourt,Coronary computed tomography angiography: How should we act on what we find?,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963642378&doi=10.1007%2fs12350-016-0494-3&partnerID=40&md5=7988e5451ee917de6513fa4c8f97171b,Universidade de São Paulo - Faculdade de Medicina,[No abstract available],,
Márcio Sommer Bittencourt,The Identification of Calcified Coronary Plaque Is Associated With Initiation and Continuation of Pharmacological and Lifestyle Preventive Therapies: A Systematic Review and Meta-Analysis,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026876917&doi=10.1016%2fj.jcmg.2017.01.030&partnerID=40&md5=d279de86084850bee7e99dcff83ac361,Universidade de São Paulo - Faculdade de Medicina,"Objectives The aim of this study was to assess the odds of initiation or continuation of pharmacological and lifestyle preventive therapies in patients with nonzero versus zero coronary artery calcium (CAC) score detected on cardiac computed tomography. Background Detection of calcified coronary plaque could serve as a motivational tool for physicians and patients to intensify preventive therapies. Methods We searched PubMed, EMBASE (Excerpta Medica database), Web of Science, Cochrane CENTRAL (Cochrane central register of controlled trials), ClinicalTrials.gov, and the International Clinical Trials Registry Platform for studies evaluating the association of CAC scores with downstream pharmacological or lifestyle interventions for prevention of cardiovascular disease. Pooled odds ratios (ORs) of downstream interventions were obtained using the DerSimonian and Laird random effects model. Results After a review of 6,256 citations and 54 full-text papers, 6 studies (11,256 participants, mean follow-up time: 1.6 to 6.0 years) were included. Pooled estimates of the odds of aspirin initiation (OR: 2.6; 95% confidence interval [CI]: 1.8 to 3.8), lipid-lowering medication initiation (OR: 2.9; 95% CI: 1.9 to 4.4), blood pressure–lowering medication initiation (OR: 1.9; 95% CI: 1.6 to 2.3), lipid-lowering medication continuation (OR: 2.3; 95% CI: 1.6 to 3.3), increase in exercise (OR: 1.8; 95% CI: 1.4 to 2.4), and dietary change (OR: 1.9; 95% CI: 1.5 to 2.5) were higher in individuals with nonzero CAC versus zero CAC scores, but not for aspirin or blood pressure–lowering medication continuation. When assessed within individual studies, these findings remained significant after adjustment for baseline patient characteristics and cardiovascular risk factors. Conclusions This systematic review and meta-analysis suggests that nonzero CAC score, identifying calcified coronary plaque, significantly increases the likelihood of initiation or continuation of pharmacological and lifestyle therapies for the prevention of cardiovascular disease. © 2017 American College of Cardiology Foundation",cardiovascular prevention; coronary calcium score; meta-analysis,
Márcio Sommer Bittencourt,The expected cardiovascular benefit of plasma cholesterol lowering with or without LDL-C targets in healthy individuals at higher cardiovascular risk,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023770341&doi=10.5935%2fabc.20170089&partnerID=40&md5=438accc7dac589ee681ad5157fa03888,Universidade de São Paulo - Faculdade de Medicina,"Background: There is controversy whether management of blood cholesterol should be based or not on LDL-cholesterol (LDL-c) target concentrations. Objectives: To compare the estimated impact of different lipid-lowering strategies, based or not on LDL-c targets, on the risk of major cardiovascular events in a population with higher cardiovascular risk. Methods: We included consecutive individuals undergoing a routine health screening in a single center who had a 10-year risk for atherosclerotic cardiovascular disease (ASCVD) ≥ 7.5% (pooled cohort equations, ACC/AHA, 2013). For each individual, we simulated two strategies based on LDL-c target (≤ 100 mg/dL [Starget-100] or ≤ 70 mg/dL [Starget-70]) and two strategies based on percent LDL-c reduction (30% [S30%] or 50% [S50%]). Results: In 1,897 subjects (57 ± 7 years, 96% men, 10-year ASCVD risk 13.7 ± 7.1%), LDL-c would be lowered from 141 ± 33 mg/dL to 99 ± 23 mg/dL in S30%, 71 ± 16 mg/dL in S50%, 98 ± 9 mg/dL in Starget-100, and 70 ± 2 mg/dL in Starget-70. Ten-year ASCVD risk would be reduced to 8.8 ± 4.8% in S50% and 8.9 ± 5.2 in Starget-70. The number of major cardiovascular events prevented in 10 years per 1,000 individuals would be 32 in S30%, 31 in Starget-100, 49 in S50%, and 48 in Starget-70. Compared with Starget-70, S50% would prevent more events in the lower LDL-c tertile and fewer events in the higher LDL-c tertile. Conclusions: The more aggressive lipid-lowering approaches simulated in this study, based on LDL-c target or percent reduction, may potentially prevent approximately 50% more hard cardiovascular events in the population compared with the less intensive treatments. Baseline LDL-c determines which strategy (based or not on LDL-c target) is more appropriate at the individual level. © 2017, Arquivos Brasileiros de Cardiologia. All rights reserved.",Cholesterol; Cholesterol; Coronary artery disease; HDL/ blood; Hypercholesterolemia/ blood; LDL/ blood; Risk factors,
Márcio Sommer Bittencourt,Cardiovascular risk stratification and statin eligibility based on the Brazilian vs. North american guidelines on blood cholesterol management,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023763455&doi=10.5935%2fabc.20170088&partnerID=40&md5=00b9880cf1c52a6d452c15a5baaa16be,Universidade de São Paulo - Faculdade de Medicina,"Background: The best way to select individuals for lipid-lowering treatment in the population is controversial. Objective: In healthy individuals in primary prevention: (1) to assess the relationship between cardiovascular risk categorized according to the V Brazilian Guideline on Dyslipidemia and the risk calculated by the pooled cohort equations (PCE); (2) to compare the proportion of individuals eligible for statins, according to different criteria. Methods: In individuals aged 40-75 years consecutively submitted to routine health assessment at one single center, four criteria of eligibility for statin were defined: BR-1, BR-2 (LDL-c above or at least 30 mg/dL above the goal recommended by the Brazilian Guideline, respectively), USA-1 and USA-2 (10-year risk estimated by the PCE ≥ 5.0% or ≥ 7.5%, respectively). Results: The final sample consisted of 13,947 individuals (48 ± 6 years, 71% men). Most individuals at intermediate or high risk based on the V Brazilian Guideline had a low risk calculated by the PCE, and more than 70% of those who were considered at high risk had this categorization because of the presence of aggravating factors. Among women, 24%, 17%, 4% and 2% were eligible for statin use according to the BR-1, BR-2, USA-1 and USA-2 criteria, respectively (p < 0.01). The respective figures for men were 75%, 58%, 31% and 17% (p < 0.01). Eighty-five percent of women and 60% of men who were eligible for statin based on the BR-1 criterion would not be candidates for statin based on the USA-1 criterion. Conclusions: As compared to the North American Guideline, the V Brazilian Guideline considers a substantially higher proportion of the population as eligible for statin use in primary prevention. This results from discrepancies between the risk stratified by the Brazilian Guideline and that calculated by the PCE, particularly because of the risk reclassification based on aggravating factors. © 2017, Arquivos Brasileiros de Cardiologia. All rights reserved.",Anticholesterelemic agents; Cardiovascular diseases; Cholesterol; Hydroxymethylglutaryl-CoA reductases; Practice guidelines as topic; Risk assessment,
Márcio Sommer Bittencourt,Insulin resistance is associated with carotid intima-media thickness in non-diabetic subjects. A cross-sectional analysis of the ELSA-Brasil cohort baseline,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015751028&doi=10.1016%2fj.atherosclerosis.2017.03.011&partnerID=40&md5=97fb3c5777fe012d3bb3fdf43cbc2675,Universidade de São Paulo - Faculdade de Medicina,"Background and aims Epidemiological studies have analyzed the association between carotid intima-media thickness (CIMT) and insulin resistance, glucose levels or glycated hemoglobin with mixed results. We aimed to evaluate the association between CIMT and homeostasis model assessment – insulin resistance (HOMA-IR), fasting and post-load plasma glucose and glycated hemoglobin in the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil) baseline. Methods We included 8028 participants (aged 35–74 years) without diabetes or overt cardiovascular disease who had complete CIMT data at baseline. We built crude and adjusted linear and binary logistic models to evaluate the association between CIMT and (a) HOMA-IR; (b) fasting plasma glucose; (c) post-load plasma glucose; and (d) glycated hemoglobin. We also built post-hoc models, stratified by sex. Results In the fully-adjusted linear models, only the association between CIMT (in mm) and HOMA-IR remained significant (β = 0.004; 95% confidence interval [95%CI]:0.001 to 0.006). Consistent with these results, only the association between the highest age- sex- and race-specific CIMT quartile and HOMA-IR was significant in the adjusted logistic model (odds ratio [OR]:1.10; 95% CI:1.04–1.17). The association between HOMA-IR and the highest CIMT quartile remained significant in sex-specific analyses (OR:1.10; 95% CI:1.02–1.20 for men and OR:1.10; 95% CI:1.02–1.20 for women). We did not find an independent association between CIMT and glucose or glycated hemoglobin. Conclusions We found a direct association between HOMA-IR and CIMT in a large sample of non-diabetic participants. Mechanisms unrelated to glucose homeostasis, as a direct effect of insulin on atherosclerosis, or medial hypertrophy, may be involved. © 2017 Elsevier B.V.",Glycemic; Hyperinsulinemia; Insulin; Medial hypertrophy; Metabolism; Subclinical atherosclerosis,
Márcio Sommer Bittencourt,Relation of Fasting Triglyceride-Rich Lipoprotein Cholesterol to Coronary Artery Calcium Score (from the ELSA-Brasil Study),2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017270553&doi=10.1016%2fj.amjcard.2017.01.033&partnerID=40&md5=6192ca100070d0834b705180a6b798bf,Universidade de São Paulo - Faculdade de Medicina,"Although low-density lipoprotein cholesterol (LDL-C) is widely accepted as the principal lipid fraction associated with atherosclerosis, emerging evidence suggests a causal relation between lifelong elevations in triglyceride-rich lipoprotein cholesterol (TRL-C) and cardiovascular disease (CVD) in genetic studies. To provide further evidence for the potential relevance of TRL-C and atherosclerosis, we have evaluated the relation between TRL-C and coronary artery calcium (CAC) score. We included 3,845 subjects (49.9 ± 8.4 years, 54% women) who had no history of CVD, were not using lipid-lowering medications, and underwent CAC evaluation. We assessed the relation between increasing fasting TRL-C and the graded increase in CAC and to what extent TRL-C were independently associated with CAC over and above LDL-C using logistic regression models. Overall, 973 (25%) of the participants had a CAC >0 and 308 (8%) had a CAC >100. The median TRL-C level was 22 mg/dL (IQR 16 to 32). Subjects with CAC >0 had higher TRL-C levels than those with CAC = 0 (p <0.001). Similarly, subjects with CAC >0 had higher levels of LDL-C, non–high-density lipoprotein cholesterol, and lower high-density lipoprotein cholesterol (all p <0.001). After multivariate adjustment, log-transformed TRL-C remained associated with the presence and severity of CAC (all p <0.05). When TRL-C was added to models that contained demographic factors and conventional lipids, it significantly improved the model to predict the presence of CAC >0 (p = 0.01). In conclusion, in a large cohort of asymptomatic subjects, TRL-C was associated with subclinical atherosclerosis supporting a potentially causal role in CVD. © 2017 Elsevier Inc.",,"C reactive protein; cholesterol; high density lipoprotein cholesterol; lipoprotein; lipoprotein cholesterol; lipoprotein triglyceride; low density lipoprotein cholesterol; triacylglycerol; adult; blood; blood vessel calcification; Brazil; coronary artery disease; diagnostic imaging; diet restriction; female; human; male; metabolism; middle aged; multivariate analysis; statistical model; x-ray computed tomography; Adult; Brazil; C-Reactive Protein; Cholesterol; Cholesterol, HDL; Cholesterol, LDL; Coronary Artery Disease; Fasting; Female; Humans; Lipoproteins; Logistic Models; Male; Middle Aged; Multivariate Analysis; Tomography, X-Ray Computed; Triglycerides; Vascular Calcification"
Márcio Sommer Bittencourt,"Coronary CTA in the Evaluation of Stable Chest Pain: Clear Benefits, But Not for All",2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016979207&doi=10.1016%2fj.jacc.2017.02.011&partnerID=40&md5=e49252bbe56cf28b16d36cf6c6c5c108,Universidade de São Paulo - Faculdade de Medicina,[No abstract available],coronary CTA; myocardial ischemia; prevention; revascularization,
Márcio Sommer Bittencourt,Thyrotropin levels are associated with chronic kidney disease among healthy subjects in cross-sectional analysis of the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil),2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016097640&doi=10.1007%2fs10157-017-1400-2&partnerID=40&md5=8b231b0ce9045fdc3afbc54f25bdba4b,Universidade de São Paulo - Faculdade de Medicina,"Background: Few studies have evaluated a possible relationship between thyrotropin levels and glomerular filtration rate (GFR) and albumin/creatinine ratio in euthyroid subjects. We aimed to analyze this association using baseline data from the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil). Methods: Cross-sectionally, we included subjects with normal thyroid function and with subclinical hypothyroidism (SCH). We excluded individuals using medications that affect thyroid function. Linear and logistic regression models evaluated GFR estimated by Chronic Kidney Disease Epidemiology Collaboration (CKD-Epi) and albuminuria/creatinine ratio as dependent variables and thyrotropin quartiles in individuals with euthyroidism and SCH as independent variables, adjusted for demographical characteristics and diseases related to CKD. Results: We included 13,193 subjects with a median age of 51 years [interquartile range, (IQR): 45–58], 6840 (51.8%) women, 12,416 (94.1%) euthyroid, and 777 (5.9%) with SCH. SCH subjects were characterized by higher age, triglycerides, frequency of white race, cardiovascular disease, CKD, and former smokers. In adjusted models, log-transformed TSH in euthyroid subjects was inversely and strongly associated with CKD (β = −2.181, 95% CI −2.714 to −1.648), P < 0.0001 for glomerular filtration rate and 4.528 (1.190–7.865) for albuminuria/creatinine ratio. Multivariate logistic models for euthyroid subjects showed an OR of 1.45 (95% CI 1.15–1.83) for GFR and of 1.95 (95% CI 1.08–3.54) for albuminuria/creatinine ratio in the fourth quartile of TSH using the first as the reference. Conclusions: Thyrotropin levels are independently associated with CKD in euthyroid subjects. © 2017 Japanese Society of Nephrology",Chronic kidney disease; CKD-Epi; Glomerular filtration rate; Subclinical hypothyroidism; Thyroid dysfunction,
Márcio Sommer Bittencourt,Obstructive sleep apnea is independently associated with subclinical coronary atherosclerosis among middle-aged women,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978036080&doi=10.1007%2fs11325-016-1374-4&partnerID=40&md5=f3287c450895349d4a0f4b55347c79e6,Universidade de São Paulo - Faculdade de Medicina,"Purpose: Obstructive sleep apnea (OSA) is associated with coronary disease among men. However, this association is not clear for women. In this study, we evaluate the association between OSA and presence of subclinical atherosclerosis assessed by tomographic coronary calcium score in middle-aged women. Methods: We evaluated consecutive women aged between 45 and 65 years in perimenopause or postmenopause period (with menstrual irregularity—amenorrhea &gt; 60 days), without manifest cardiovascular disease (heart failure, coronary disease, and stroke), from two gynecologic clinics. All patients underwent clinical evaluation, computed tomographic examination for coronary artery calcium (CAC &gt; 100 Agatston units), and portable sleep study. Multiple logistic regression models were used to evaluate the association between OSA and CAC, controlling for traditional risk factors including Framingham Risk Score (FRS), body mass index (BMI), and diabetes. Results: We studied 214 women (age 56 years (52–61); BMI 28 kg/m2 (25–31), 25 % diabetes, 62 % hypertension). OSA (apnea-hypopnea index (AHI) ≥5 events/h) was diagnosed in 82 women (38.3 %). CAC was more prevalent in patients with moderate/severe OSA (AHI ≥15 events/h) than in patients without or with mild OSA, 19 % vs 4.5 and 1.6 %, respectively (p &lt; 0.01). Moderate to severe OSA was associated with CAC in unadjusted (odds ratio = 6.25, 95 % CI 1.66–23.52; p &lt; 0.01) and adjusted (odds ratio = 8.19, 95 % CI 1.66–40.32; p = 0.01) logistic regression analysis. Conclusion: Moderate to severe OSA is independently associated with the presence of CAC in middle-aged women. These results reinforce the concept that women are also susceptible to the cardiovascular consequences of OSA. © 2016, Springer-Verlag Berlin Heidelberg.",Atherosclerosis; Coronary heart disease; Obstructive sleep apnea; Women,
Márcio Sommer Bittencourt,Coronary Artery Bypass Surgery in Diffuse Advanced Coronary Artery Disease: 1-Year Clinical and Angiographic Results,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016548572&doi=10.1055%2fs-0037-1601306&partnerID=40&md5=87ebecc69e206d57a79a4022fedd1f7e,Universidade de São Paulo - Faculdade de Medicina,"Background Proper treatment of patients with diffuse, severe coronary artery disease (CAD) is a challenge due to its complexity. Thus, data on the outcomes after coronary artery bypass graft (CABG) in this population is scarce. In this study, we aimed to determine the impact of CABG on the clinical and functional status, as well as graft patency in those individuals. Methods Patients with severe and diffuse CAD who underwent incomplete CABG due to complex anatomy or extensive distal coronary involvement were evaluated preoperatively and 1 year after surgery. Postoperative coronary angiography was performed to evaluate graft patency. Graft occlusion was defined as the complete absence of opacification of the target vessel. Stratified analysis of graft occlusion was performed by graft type and territories, defined as left anterior descending artery (LAD), the left circumflex branch, and the right coronary artery territories; the latter two, grouped, were further classified as non-LAD territory. Results A total of 57 patients were included, in whom 131 grafts were placed. There was a significant improvement in Canadian Cardiovascular Society angina symptom severity (Z = –6.1; p < 0.001) and maximum oxygen uptake (p < 0.001), with a corresponding decrease in the use of long-acting nitrates (p < 0.001). The overall graft occlusion rate was 19.1%, with no significant difference between LAD and non-LAD territories (p = 0.08). However, a significantly lower occlusion rate was noted for the internal mammary artery (IMA) grafts when compared with saphenous vein grafts (p = 0.01), though this difference was only significant in the LAD territory (p = 0.04). Overall, the use of venous graft was the only predictor occlusion at 1 year (odds ratio: 4.03; p = 0.016). Conclusion In patients with diffuse CAD, incomplete CABG surgery resulted in a significant clinical improvement, with acceptable graft occlusion rates at 1 year, particularly for IMA grafts to the LAD territory. Copyright © 2017, Georg Thieme Verlag KG. All rights reserved.",coronary artery bypass graft surgery; coronary artery disease; graft occlusion,
