Authors,Title,Year,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"González-Gutiérrez J., Carreón Y.J.P., Moctezuma R.E.","Structural evolution of a granular medium during simultaneous penetration",2018,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026648864&doi=10.1016%2fj.physa.2017.07.014&partnerID=40&md5=ba46437fcd0a169a54439ba4640a26e8","PIIT, Nuevo León, Mexico; Universidad Autónoma de San Luis Potosí, Álvaro Obregón 64, 78000 San Luis Potosí, San Luis Potosí, Mexico","González-Gutiérrez, J., PIIT, Nuevo León, Mexico; Carreón, Y.J.P., PIIT, Nuevo León, Mexico; Moctezuma, R.E., Universidad Autónoma de San Luis Potosí, Álvaro Obregón 64, 78000 San Luis Potosí, San Luis Potosí, Mexico","Typically, fluidized beds are granular systems composed of solid particles through which a fluid flows. They are relevant to a wide variety of disciplines such as physics, chemistry, engineering, among others. Generally, the fluidized beds are characterized by different flow regimes such as particulate, bubbling, slugging, turbulent, fast fluidization, and pneumatic conveying. Here, we report the experimental study of the structural evolution of a granular system due to simultaneous penetration of intruders in the presence of an upward airflow. We found that the granular medium evolves from the static state to the turbulent regime showing the coexistence of three regions in different flow regimes. Interestingly, the cooperative dynamic of intruders correlate with the formation of such regions. As a non-invasive method, we use lacunarity and fractal dimension to quantitatively describe the patterns arising within the system during the different stages of the penetration process. Finally, we found that our results would allow us to relate the evolution of the visual patterns appearing in the process with different physical properties of the system. © 2017 Elsevier B.V.","Fractals and lacunarity; Granular systems; Penetration","Flow of fluids; Fluid dynamics; Fluidization; Fractal dimension; Fractals; Granular materials; Noninvasive medical procedures; Particles (particulate matter); Cooperative dynamics; Granular system; Lacunarity; Noninvasive methods; Penetration; Penetration process; Pneumatic conveying; Structural evolution; Fluidized beds"
"Kočí V., Kočí J., Maděra J., Černý R.","Assessment of fast heat evolving processes using inverse analysis of calorimetric data",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026477309&doi=10.1016%2fj.ijheatmasstransfer.2017.07.118&partnerID=40&md5=ba1e9c89f99f0188ad32da69431c5fcf","Department of Materials Engineering and Chemistry, Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Prague 6, Czech Republic","Kočí, V., Department of Materials Engineering and Chemistry, Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Prague 6, Czech Republic; Kočí, J., Department of Materials Engineering and Chemistry, Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Prague 6, Czech Republic; Maděra, J., Department of Materials Engineering and Chemistry, Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Prague 6, Czech Republic; Černý, R., Department of Materials Engineering and Chemistry, Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Prague 6, Czech Republic","A computational method for an enhanced assessment of experimental data produced by isothermal calorimeters is presented. Based on the inverse analysis of transient heat transport in the calorimeter, the proposed technique enables reconstruction of fast heat evolving processes. A practical utilization of the developed method is demonstrated for the heat evolution in lime hydrate-water- and Portland cement–water systems where the computational assessment makes it possible to find seven to twelve times higher initial-peak heat power values than the calorimetric measurements. The high level of agreement of original experimental data with its computational representation, R2 = 0.9984 for the lime hydrate-water system and R2 = 0.9992 for the Portland cement–water system, confirms an overall good accuracy of the model. The capability of the developed computational method to correct intrinsic distortions, which are characteristic for specific calorimetric techniques, such as the heat consumption by device components and signal delay, makes good prerequisites for its applications in physics, chemistry, and engineering. © 2017 Elsevier Ltd","Calorimetric measurements; Computational method; Data reconstruction; Fast heat evolving processes; Inverse analysis",
"Zhao L., Liu J.-Y., Zhou P.-W.","On the mechanism of non-radiative decay of blue fluorescent protein chromophore: New insight from the excited-state molecular dynamics simulations and potential energy calculations",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020460688&doi=10.1016%2fj.saa.2017.06.005&partnerID=40&md5=cd392454322c30a91ce2d154010b4bf3","State Key Laboratory of Molecular Reaction Dynamics, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, Dalian, China; University of Chinese Academy of Sciences, Beijing, China","Zhao, L., State Key Laboratory of Molecular Reaction Dynamics, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, Dalian, China, University of Chinese Academy of Sciences, Beijing, China; Liu, J.-Y., State Key Laboratory of Molecular Reaction Dynamics, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, Dalian, China; Zhou, P.-W., State Key Laboratory of Molecular Reaction Dynamics, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, Dalian, China","A detailed theoretical investigation based on the ab initio on-the-fly surface hopping dynamics simulations and potential energy surfaces calculations has been performed to unveil the mechanism of the photoinduced non-adiabatic relaxation process of the isolated blue fluorescent protein (BFP) chromophore in gas phase. The data analysis presents that the dominant reaction coordinate of the BFP chromophore is driven by a rotation motion around the CC double bridging bond, which is in remarkable difference with a previous result which supports a Hula-Twist rotation pattern. Such behavior is consistent with the double bond rotation pattern of the GFP neutral chromophore. In addition, the dynamics simulations give an estimated decay time of 1.1 ps for the S1 state, which is agrees well with the experimental values measured in proteins. The present work offers a straightforward understanding for the decay mechanism of the BFP chromophore and suggestions of the photochemical properties of analogous protein chromophores. We hope the current work would be helpful for further exploration of the BFP photochemical and photophysical properties in various environments, and can provide guidance and prediction for rational design of the fluorescent proteins catering for different demands. © 2017 Elsevier B.V.","Dynamics simulation; Excited state; Fluorescent proteins; Nonadiabatic","Calculations; Excited states; Fluorescence; Molecular dynamics; Molecular physics; Potential energy; Proteins; Quantum chemistry; Reaction kinetics; Rotation; Blue fluorescent proteins; Dynamics simulation; Fluorescent protein; Molecular dynamics simulations; Non-adiabatic; Photochemical properties; Photophysical properties; Theoretical investigations; Chromophores"
"Sanjay S.S., Pandey A.C.","A brief manifestation of nanotechnology",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995532183&doi=10.1007%2f978-81-322-3655-9_2&partnerID=40&md5=021db318b567e11b04eb709d7e22e7a6","Chemistry Department, Ewing Christian College, Allahabad, India; Nanotechnology Application Centre, University of Allahabad, Allahabad, India","Sanjay, S.S., Chemistry Department, Ewing Christian College, Allahabad, India; Pandey, A.C., Nanotechnology Application Centre, University of Allahabad, Allahabad, India","Nanotechnology is basically focused on the fabrication of nanomaterials based on the manipulation, control, and integration of atoms and molecules at nanometer scale, due to which there develops sudden change in the size-dependent properties and functions. We have to integrate chemistry, physics and biology to form materials, structures, components, devices, and systems at the nanoscale level. In the metric system, prefix “nano-” refers to one-billionth (0.000 000 001 = 10−9) of the base unit. In the nanoscale, at least one of the particle’s dimensions (height, width, or depth) should be at less than 100 nm. At this level, the chemical reactivity changes dramatically due to the reduction of particle size. This change occurs as a function of the structure and the density of electrons in the outermost electronic energy levels. Along with the physical properties such as optical, electrical, and thermal properties, magnetic characteristics may also change which in-turn depend on the distribution of electrons in the outermost energy levels, leads to the novel optical, electrical, magnetic behaviors and changes in the surface dependent properties. Because of the increase in the surface-to-volume ratio at the nanoscale level the properties of the material become strongly dependent (controllable) on the surface of the materials. The nanomaterials may be classified in number of ways, viz., based on: (i) dimensionality (ii) surface morphology (iii) crystalline forms (iv) chemical nature (v) chemical composition (vi) magnetic behavior (vii) functionalization or (viii) applications. But none of these classifications can be considered as absolute one. They are usually composites or hybrid in nature because in majority of cases organic compounds are used to stabilize them through capping or functionalization during synthesis. Magnetic nanomaterials have giant spins, which may be described as a single magnetic domain having uniaxial anisotropy, their EMR signals can be exploited for various biomedical and many other applications. Number of biomedical applications of nanoparticles is becoming possible because of their specific physicochemical properties and controllable dimensions which range from a few nanometers to nearly tens of nanometer, due to which they come in the size range smaller than that of a plant or animal cells having submicron size domain. © Springer (India) Pvt. Ltd. 2017.","Chemical nature; Classification; Dimensionality; Nanomaterials; Surface morphology",
"Mosebach B., Ozkaya B., Giner I., Keller A., Grundmeier G.","Analysis of acid-base interactions at Al2O3 (11-20) interfaces by means of single molecule force spectroscopy",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019893742&doi=10.1016%2fj.apsusc.2017.05.105&partnerID=40&md5=1af4ad8031fa24ea74563fd4eaaef39f","University of Paderborn, Warburger Str. 100, Paderborn, Germany","Mosebach, B., University of Paderborn, Warburger Str. 100, Paderborn, Germany; Ozkaya, B., University of Paderborn, Warburger Str. 100, Paderborn, Germany; Giner, I., University of Paderborn, Warburger Str. 100, Paderborn, Germany; Keller, A., University of Paderborn, Warburger Str. 100, Paderborn, Germany; Grundmeier, G., University of Paderborn, Warburger Str. 100, Paderborn, Germany","Single molecule force spectroscopy (SMFS) was employed to investigate the interaction forces between aliphatic amino, hydroxyl and ether groups and aluminum oxide single crystal surfaces in an aqueous electrolyte at pH = 6. The force studies were based on the variation of the terminal group of polyethylene glycol which was bound via a S[sbnd]Au bond to the gold coated AFM tip. X-ray Photoelectron Spectroscopy (XPS) was performed to characterize the surface chemistry of the substrate. Force distance curves were measured between the PEG-NH2, [sbnd]OH and [sbnd]OCH3 functionalized atomic force microscope (AFM) tip and the non-polar single crystalline Al2O3(11-20) surface. The experimental results exhibit non-equilibrium desorption events which hint at acid-base interactions of the electron donating hydroxyl and amino groups with Al-ions in the surface of the oxide. The observed desorption forces for the [sbnd]NH2, [sbnd]OH/Al2O3(11-20) were in the range of 100–200 pN. © 2017 Elsevier B.V.","Acid base interactions; Adhesion; Aluminium oxide; Single molecule force spectroscopy","Adhesion; Aluminum; Atomic force microscopy; Desorption; Electrolytes; Gold coatings; Molecular physics; Molecules; Oxides; Single crystal surfaces; Surface chemistry; Acid base interaction; Aluminium oxide; Aqueous electrolyte; Electron-donating; Force-distance curves; Interaction forces; Single molecule force spectroscopy; Single-crystalline; X ray photoelectron spectroscopy"
"Steffen J., Hartke B.","Cheap but accurate calculation of chemical reaction rate constants from ab initio data, via system-specific, black-box force fields",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017639146&doi=10.1063%2f1.4979712&partnerID=40&md5=9cb99eccf34dfd68d1d1b39d825af1ae","Institut für Physikalische Chemie, Christian-Albrechts-Universität, Olshausenstraße 40, Kiel, Germany","Steffen, J., Institut für Physikalische Chemie, Christian-Albrechts-Universität, Olshausenstraße 40, Kiel, Germany; Hartke, B., Institut für Physikalische Chemie, Christian-Albrechts-Universität, Olshausenstraße 40, Kiel, Germany","Building on the recently published quantum-mechanically derived force field (QMDFF) and its empirical valence bond extension, EVB-QMDFF, it is now possible to generate a reliable potential energy surface for any given elementary reaction step in an essentially black box manner. This requires a limited and pre-defined set of reference data near the reaction path and generates an accurate approximation of the reference potential energy surface, on and off the reaction path. This intermediate representation can be used to generate reaction rate data, with far better accuracy and reliability than with traditional approaches based on transition state theory (TST) or variational extensions thereof (VTST), even if those include sophisticated tunneling corrections. However, the additional expense at the reference level remains very modest. We demonstrate all this for three arbitrarily chosen example reactions. © 2017 Author(s).",,"Calculations; Molecular physics; Potential energy; Potential energy surfaces; Quantum chemistry; Reaction intermediates; Reaction kinetics; Reaction rates; Reliability theory; Accurate calculations; Elementary reaction; Intermediate representations; Reference data; Reference levels; System specific; Traditional approaches; Transition state theories; Rate constants"
"Delarue M., Koehl P., Orland H.","Ab initio sampling of transition paths by conditioned Langevin dynamics",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021071615&doi=10.1063%2f1.4985651&partnerID=40&md5=e24d287a4adb156e61d0980d0f5fa75a","Unité de Dynamique Structurale des Macromolécules, UMR 3528 du CNRS, Institut Pasteur, Paris, France; Department of Computer Science and Genome Center, University of California, Davis, CA, United States; Institut de Physique Théorique, CEA, URA 2306 du CNRS, Gif-sur-Yvette, France; Beijing Computational Science Research Center, No.10 East Xibeiwang Road, Haidian District, Beijing, China","Delarue, M., Unité de Dynamique Structurale des Macromolécules, UMR 3528 du CNRS, Institut Pasteur, Paris, France; Koehl, P., Department of Computer Science and Genome Center, University of California, Davis, CA, United States; Orland, H., Institut de Physique Théorique, CEA, URA 2306 du CNRS, Gif-sur-Yvette, France, Beijing Computational Science Research Center, No.10 East Xibeiwang Road, Haidian District, Beijing, China","We propose a novel stochastic method to generate Brownian paths conditioned to start at an initial point and end at a given final point during a fixed time tf under a given potential U(x). These paths are sampled with a probability given by the overdamped Langevin dynamics. We show that these paths can be exactly generated by a local stochastic partial differential equation. This equation cannot be solved in general but we present several approximations that are valid either in the low temperature regime or in the presence of barrier crossing. We show that this method warrants the generation of statistically independent transition paths. It is computationally very efficient. We illustrate the method first on two simple potentials, the two-dimensional Mueller potential and the Mexican hat potential, and then on the multi-dimensional problem of conformational transitions in proteins using the ""Mixed Elastic Network Model"" as a benchmark. © 2017 Author(s).",,"Physical chemistry; Physics; Conformational transitions; Elastic network models; Independent transitions; Langevin dynamics; Low-temperature regime; Multidimensional problems; Stochastic methods; Stochastic partial differential equation; Stochastic systems"
"Urbańczyk T., Strojecki M., Krośnicki M., Kędziorski A., Żuchowski P.S., Koperski J.","Interatomic potentials of metal dimers: probing agreement between experiment and advanced ab initio calculations for van der Waals dimer Cd2",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022194707&doi=10.1080%2f0144235X.2017.1337371&partnerID=40&md5=e60f7cce0243f84772da5c04c5860096","Faculty of Physics, Astronomy and Applied Computer Science, Smoluchowski Institute of Physics, Jagiellonian University, Kraków, Poland; Jerzy Haber Institute of Catalysis and Surface Chemistry, Polish Academy of Sciences, Kraków, Poland; Faculty of Mathematics, Physics and Informatics, Institute of Theoretical Physics and Astrophysics, University of Gdansk, Gdańsk, Poland; Faculty of Physics, Astronomy and Informatics, Institute of Physics, Nicolaus Copernicus University, Toruń, Poland","Urbańczyk, T., Faculty of Physics, Astronomy and Applied Computer Science, Smoluchowski Institute of Physics, Jagiellonian University, Kraków, Poland; Strojecki, M., Jerzy Haber Institute of Catalysis and Surface Chemistry, Polish Academy of Sciences, Kraków, Poland; Krośnicki, M., Faculty of Mathematics, Physics and Informatics, Institute of Theoretical Physics and Astrophysics, University of Gdansk, Gdańsk, Poland; Kędziorski, A., Faculty of Physics, Astronomy and Informatics, Institute of Physics, Nicolaus Copernicus University, Toruń, Poland; Żuchowski, P.S., Faculty of Physics, Astronomy and Informatics, Institute of Physics, Nicolaus Copernicus University, Toruń, Poland; Koperski, J., Faculty of Physics, Astronomy and Applied Computer Science, Smoluchowski Institute of Physics, Jagiellonian University, Kraków, Poland","A critical review of experimental studies and ab initio calculations of the low-lying ungerade excited and ground state interatomic potentials of Cd2 van der Waals dimer is presented. Consistency as well as discrepancies between experimental results and ab initio calculations are probed. In order to obtain better agreement with existing experimental data, fill in gaps in current knowledge and provide a unifying framework, advanced all-electron ab initio calculations were performed and simulations of the reported spectra were executed. From simulations of laser-induced fluorescence excitation and dispersed emission spectra, analytical and/or point-wise representations of the A10+ u (51P1), B11u(51P1), a31u(53P1), b30+ u (53P1) and c31u(53P2) excited-, and the X10+ g (51S0) ground-state Cd2 interatomic potentials were obtained. The comparison of the ab initio calculated potentials with results of the analyses allows to illustrate a current state-of-the-art of theory-and-experiment correspondence for such a demanding system. Results are presented in the context of an importance of the group 2 and group 12 metal dimer interatomic potentials especially, in ultra-cold physics and chemistry, and in fundamental tests of quantum mechanics. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","ab initio calculations; bond lengths; Cadmium dimers (Cd2); interatomic potentials; laser-induced fluorescence (LIF) excitation spectra; LIF dispersed emission spectra; molecular isotopic composition; potential energy curves (PEC); rotational energy structures; supersonic expansion beams; van der Waals (vdW) complexes; vibrational energy structures",
"Škvarla J., Škvarla J.","An identification of the soft polyelectrolyte gel-like layer on silica colloids using atomic force and electron microscopy",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019480861&doi=10.1016%2fj.ultramic.2017.05.011&partnerID=40&md5=3fe5dea46a18d2150b2395d970744d28","Institute of Earth Resources, Technical University in Košice, Park Komenského 19, Košice, Slovakia; Department of Physical and Macromolecular Chemistry, Charles University in Prague, Hlavova 2030, Prague 2, Czech Republic","Škvarla, J., Institute of Earth Resources, Technical University in Košice, Park Komenského 19, Košice, Slovakia; Škvarla, J., Department of Physical and Macromolecular Chemistry, Charles University in Prague, Hlavova 2030, Prague 2, Czech Republic","A procedure is introduced for measuring the radius of spherical colloid particles from the curvature of upper parts of their central cross-sectional profiles obtained by atomic force microscopy (AFM). To minimize the possible compression and displacement of the spheres, AFM is operated in a mode rendering a constant ultralow pN force on the tip. The procedure allows us to evaluate the mean radius of nearly monodisperse submicrometer spheres of silica in their natively hydrated state in aqueous electrolyte solutions, irrespective of whether they are coagulated or not. A variation in the volume (swelling degree) of layers delimited by the AFM mean radii of these spheres in KCl solutions and their invariable mean radius in vacuum is obtained that follows a scaling power law derived in polymer physics for swellable polyelectrolyte gels and deduced previously by us from coagulation tests. This supports our former suggestion about the existence of soft polyelectrolyte gel-like layer developed spontaneously around silica surfaces and colloids. We discuss this finding in the context of recent knowledge about the structure of the silica/water interface obtained from direct surface force measurements between macroscopic silica surfaces and from particle size measurements of silica colloids and highlight its importance for colloid chemistry and condensed mattter physics. © 2017 Elsevier B.V.",,"Atomic force microscopy; Colloid chemistry; Colloids; Electrolytes; Polyelectrolytes; Silica; Spheres; Aqueous electrolyte solutions; Coagulation tests; Cross sectional profiles; Particle size measurement; Polyelectrolyte gels; Spherical colloids; Surface force measurement; Swelling degree; Particle size"
"Jarrahbashi D., Kim S., Genzale C.L.","Simulation of Combustion Recession after End-of-Injection at Diesel Engine Conditions",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020447526&doi=10.1115%2f1.4036294&partnerID=40&md5=53fdb237d5d30d3db80ee7102413ff3b","School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA, United States; School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, GA, United States","Jarrahbashi, D., School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA, United States; Kim, S., School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, GA, United States; Genzale, C.L., School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA, United States","Recent experimental observations show that lifted diesel flames tend to propagate back toward the injector after the end-of-injection (EOI) under conventional high-temperature conditions. The term ""combustion recession"" has been adopted to reflect this process dominated by ""auto-ignition"" reactions. This phenomenon is closely linked to the EOI entrainment wave and its impact on the transient mixture-chemistry evolution upstream of the lift-off length. A few studies have explored the physics of combustion recession with experiments and simplified modeling, but the details of the chemical kinetics and convective-diffusive transport of reactive scalars and the capability of engine computational fluid dynamics (CFD) simulations to accurately capture them are mainly unexplored. In this study, highly resolved numerical simulations have been employed to explore the mixing and combustion of a diesel spray after the EOI and the influence of modeling choices on the prediction of these phenomena. The simulations are centered on a temperature sweep around the engine combustion network (ECN) spray-A conditions, from 800 to 1000 K, where different combustion recession behaviors are observed experimentally. Reacting spray simulations are performed via OPENFOAM, using a Reynolds-averaged Navier-Stokes (RANS) approach with a traditional Lagrangian-Eulerian coupled formulation. Two reduced chemical kinetics models for n-dodecane are used to evaluate the impact of low-temperature chemistry and mechanism formulation on predictions of combustion recession behavior. Observations from the numerical simulations are consistent with recent findings that a two-stage auto-ignition sequence drives the combustion recession process. Simulations with two different chemical mechanisms indicate that low-temperature chemistry reactions drive the likelihood of combustion recession. Copyright © 2017 by ASME.",,"Combustion; Computational fluid dynamics; Diesel engines; Engines; Navier Stokes equations; Numerical models; Temperature; Chemical mechanism; Computational fluid dynamics simulations; Coupled formulation; Diffusive transport; High temperature condition; Low-temperature chemistries; Reduced chemical kinetics model; Reynolds-averaged-navier-stokes approaches; Ignition"
