Authors,Title,Link,Abstract,Author Keywords,Index Keywords
"Hammerschlag N., Gutowsky L.F.G., Gallagher A.J., Matich P., Cooke S.J.","Diel habitat use patterns of a marine apex predator (tiger shark, Galeocerdo cuvier) at a high use area exposed to dive tourism","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020228038&doi=10.1016%2fj.jembe.2017.05.010&partnerID=40&md5=a2443aa9c7f7569e457da55917fc1191","Knowledge of the diel spatial ecology of wild animals is of great interest to ecologists and relevant to resource management and conservation. Sharks are generally considered to be more active during nocturnal periods than during the day; however, few studies have empirically evaluated diel variation in shark habitat use and how anthropogenic disturbances may influence these patterns. In the western central Atlantic Ocean, tiger sharks (Galeocerdo cuvier) are highly abundant in the shallow waters of the Little Bahama Bank, Bahamas. Within the northwest edge of the Bank, there is an area nicknamed “Tiger Beach,” where tiger sharks are provisioned year-round at spatially discrete ecotourism dive sites spanning ~ 1.5 km2. In this study, we used an array of acoustic receivers encircling an area of 102.4 km2 to evaluate for potential differences in diel spatial habitat use patterns for 42 tagged tiger sharks at Tiger Beach and the surrounding area. Using tracking data from 24 June 2014 to 13 May 2015, we evaluated spatial and diel patterns of shark activity space, centers of activity, residency and the daily proportion of sharks detected within the array. Sharks were detected during both day and night with no significant diel differences in habitat use metrics across the array, although spatial differences in residency existed. Four sharks accounted for 53.8% of residency data throughout the tracking period, with the majority of sharks primarily entering and exiting the array, except during summer months when the most of the tagged tiger sharks were absent from the array. We also found limited empirical support for hypothesized effects of provisioning tourism on tiger shark habitat use. However, additional research at finer, individual scales, may be needed to better resolve the potential influence of provisioning on tiger sharks at Tiger Beach. © 2017 Elsevier B.V.","Diel; Habitat use; Movement; Nocturnal; Shark; Tourism","Animalia; Chondrichthyes; Galeocerdo; Galeocerdo cuvier"
"Elmer L.K., Kelly L.A., Rivest S., Steell S.C., Twardek W.M., Danylchuk A.J., Arlinghaus R., Bennett J.R., Cooke S.J.","Angling into the Future: Ten Commandments for Recreational Fisheries Science, Management, and Stewardship in a Good Anthropocene","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020677609&doi=10.1007%2fs00267-017-0895-3&partnerID=40&md5=4f16b0e6252bc640442ddb6bacf82721","A new geological epoch, the “Anthropocene”, has been defined as the period in which humans have had substantial geological and ecological influence on the planet. A positive future for this epoch can be referred to as the “good Anthropocene” and would involve effective management strategies and changes in human behavior that promote the sustainability and restoration of ecosystems. Recreational fisheries hold significant social, cultural, and economic value and can generate many benefits when managed sustainably and thus be an integral part of a “good Anthropocene”. Here, we list ten commandments to facilitate persistence and long-term sustainability of recreational fisheries in the “good Anthropocene”. This list includes fostering aquatic stewardship, promoting education, using appropriate capture gear, adopting evidence-based management approaches, promoting the concept of resilience, obtaining and using effort data in management, embracing the ecosystem approach, engaging in multilevel collaboration, enhancing accessibility, and embracing optimism. When used singly, or simultaneously, these ten commandments will contribute to the harmonization of sustainable fish populations and angling practices, to create recreational fisheries’ “bright spots”. © 2017, Springer Science+Business Media New York.","Anthropocene; Commandments; Management; Recreational fishing; Sustainability","Aquatic ecosystems; Behavioral research; Ecology; Ecosystems; Geology; Management; Sustainable development; Anthropocene; Commandments; Ecosystem approach; Effective management; Evidence-based managements; Long-term sustainability; Recreational fisheries; Recreational fishings; Fisheries; angling; Anthropocene; ecosystem resilience; environmental restoration; fishery; fishery management; fishing; future prospect; management practice; recreational activity; sustainability; ecosystem; education; fishery; fishing; human; human experiment; optimism"
"Romano A., Costanzo A., Rubolini D., Saino N., Møller A.P.","Geographical and seasonal variation in the intensity of sexual selection in the barn swallow Hirundo rustica: a meta-analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988014602&doi=10.1111%2fbrv.12297&partnerID=40&md5=c121086aed8ee6e07efafa5fa0db0564","Sexual selection arises from competition among individuals for access to mates, resulting in the evolution of conspicuous sexually selected traits, especially when inter-sexual competition is mediated by mate choice. Different sexual selection regimes may occur among populations/subspecies within the same species. This is particularly the case when mate choice is based on multiple sexually selected traits. However, empirical evidence supporting this hypothesis at the among-populations level is scarce. We conducted a meta-analysis of the intensity of sexual selection on the largest database to date for a single species, the barn swallow (Hirundo rustica), relying on quantitative estimates of sexual selection. The intensity of sexual selection was expressed as the strength (effect size) of the relationships between six plumage ornaments (tail length, tail asymmetry, size of white spots on tail, ventral plumage colour, throat plumage colour and throat patch size) and several fitness proxies related to reproduction, parental care, offspring quality, arrival date from spring migration, and survival. The data were gathered for four geographically separated subspecies (H. r. rustica, H. r. erythrogaster, H. r. gutturalis, H. r. transitiva). The overall mean effect size (Zr = 0.214; 95% confidence interval = 0.175–0.254; N = 329) was of intermediate magnitude, with intensity of sexual selection being stronger in males than in females. Effect sizes varied during the breeding cycle, being larger before egg deposition, when competition for access to mates reaches its maximum (i.e. in the promiscuous part of the breeding cycle), and decreasing thereafter. In addition, effect sizes from experiments were not significantly larger than those from correlative studies. Finally, sexual selection on different sexually dimorphic traits varied among subspecies. This last result suggests that morphological divergence among populations has partly arisen from divergent sexual selection, which may eventually lead to speciation. © 2016 Cambridge Philosophical Society","barn swallow; Hirundo rustica; mate choice; meta-analysis; multiple sexually selected traits; population divergence; secondary sexual traits; sexual selection; speciation; subspecies",
"Yu J., Xing X., Jiang Y., Liang W., Wang H., Møller A.P.","Alarm call-based discrimination between common cuckoo and Eurasian sparrowhawk in a Chinese population of great tits","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020460140&doi=10.1111%2feth.12624&partnerID=40&md5=cc59f6e623c81ff878f728dbe3a4cb84","Morphological resemblance of the common cuckoo Cuculus canorus to the Eurasian sparrowhawk Accipiter nisus has been regarded as an example of predator mimicry. Common hosts could distinguish parasites as the result of coevolution, while rare hosts or non-hosts may mistake cuckoos for hawks because rare hosts or non-hosts behave similarly when faced with these two species. Birds usually produce alarm calls in addition to showing behavioral responses when in danger. However, previous studies of identification by rare hosts or non-hosts of sparrowhawks usually lacked experimental evidence of alarm calls. Great tits Parus major, a rare cuckoo host, perform similar behaviors and usually produce alarm calls in response to sparrowhawks and common cuckoos. Here, we tested whether great tits could distinguish common cuckoo from sparrowhawk based on analysis of their alarm calls and the effects of playback of alarm calls on conspecific behavior. Previous studies showed that great tits have a complex communication system that conveys information about predators, and they could perform different kinds of response behavior to different alarm calls. If great tits have not made the ability to distinguish between common cuckoo and sparrowhawk, then their acoustic responses to these two species and their response behaviors in playback experiments should be similar. Specimens of a common cuckoo (parasite), a sparrowhawk (predator) and an Oriental turtle dove Streptopelia orientalis (harmless control) were used to elicit and subsequently record the response behavior and alarm calls of great tits. There was no significant difference in behavioral response among great tits when exposed to the dummy of cuckoo, sparrowhawk and dove. In contrast, they differed significantly in alarm calls. Great tits produced more notes per call that contained increasing D-type and decreasing I-type notes when responding to sparrowhawk as compared to cuckoo or dove. In playback experiments, we found that great tits responded more strongly to great tit hawk than to great tit cuckoo or great tit dove alarm calls. Our study suggests that great tits are able to distinguish sparrowhawks from common cuckoos and convey relevant information in alarm calls by adjusting the number and combinations of notes of a single call type. © 2017 The Authors. Ethology Published by Blackwell Verlag GmbH","alarm call; cuckoo–hawk mimicry; great tit; parasite; playback; predator","alarm signal; behavioral response; calling behavior; coevolution; conspecific; morphology; parasite; passerine; predator; raptor; Accipiter nisus; Accipitrinae; Aves; Cuculidae; Cuculus canorus; Parus major; Streptopelia; Streptopelia orientalis"
"Mills S., Alcántara-Rodríguez J.A., Ciros-Pérez J., Gómez A., Hagiwara A., Galindo K.H., Jersabek C.D., Malekzadeh-Viayeh R., Leasi F., Lee J.-S., Mark Welch D.B., Papakostas S., Riss S., Segers H., Serra M., Shiel R., Smolak R., Snell T.W., Stelzer C.-P., Tang C.Q., Wallace R.L., Fontaneto D., Walsh E.J.","Fifteen species in one: deciphering the Brachionus plicatilis species complex (Rotifera, Monogononta) through DNA taxonomy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962674102&doi=10.1007%2fs10750-016-2725-7&partnerID=40&md5=495b57b9561000ebb51e8e9d3c3ec580","Understanding patterns and processes in biological diversity is a critical task given current and rapid environmental change. Such knowledge is even more essential when the taxa under consideration are important ecological and evolutionary models. One of these cases is the monogonont rotifer cryptic species complex Brachionus plicatilis, which is by far the most extensively studied group of rotifers, is widely used in aquaculture, and is known to host a large amount of unresolved diversity. Here we collate a dataset of previously available and newly generated sequences of COI and ITS1 for 1273 isolates of the B. plicatilis complex and apply three approaches in DNA taxonomy (i.e. ABGD, PTP, and GMYC) to identify and provide support for the existence of 15 species within the complex. We used these results to explore phylogenetic signal in morphometric and ecological traits, and to understand correlation among the traits using phylogenetic comparative models. Our results support niche conservatism for some traits (e.g. body length) and phylogenetic plasticity for others (e.g. genome size). © 2016, Springer International Publishing Switzerland.","Biodiversity; COI; Cryptic species; Evolution; ITS1; Phylogenetic comparative methods; Zooplankton","Brachionus plicatilis; Monogononta; Rotifera"
"Schoonyan A., Kraus R.T., Faust M.D., Vandergoot C.S., Cooke S.J., Cook H.A., Hayden T.A., Krueger C.C.","Estimating incision healing rate for surgically implanted acoustic transmitters from recaptured fish","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021178170&doi=10.1186%2fs40317-017-0130-2&partnerID=40&md5=927547a72e3d4a2dfc7d25f1d3ddb8f4","Background: Intracoelomic implantation of electronic tags has become a common method in fishery research, but rarely are fish examined by scientists after release to understand the extent that surgical incisions have healed. Walleye (Sander vitreus) are a valuable, highly exploited fishery resource in the Laurentian Great Lakes. Here, fishery capture of walleye with internal acoustic transmitters combined with a high reward program provided multiple opportunities to examine photographs and quantify the status of surgical incisions. Walleye (n = 926) from reef and river spawning populations in Lake Erie and Lake Huron were implanted with acoustic transmitters during spring spawning events from 2011 to 2016. Incisions were closed with polydioxanone monofilament using two to three interrupted sutures. Out of 276 recaptured fish, 60 incision sites were clearly visible in photographs, and these were scored by two independent readers for incision closure, inflammation, and the presence of sutures. Results: While incision sites were completely closed by 61 days post-release (95% CI 44-94), sutures remained for up to 866 days. Sutures were expelled serially during a protracted period, and the probability of observing at least one suture in a recaptured fish declined below 50% after 673 days (95% CI 442-1016). Inflammation at the incision increased during the first 71 days and then declined monotonically, remaining detectable at low levels. Conclusion: Our results emphasized that sutures remained in free-ranging fish past the time when they were beneficial for incision healing. Most dissolvable sutures have been designed for use in endotherms where the body temperature and internal milieu differ dramatically from the conditions experienced by fishes in temperate climates. Identification of new suture materials for fish that facilitate healing while absorbing or dissolving in a reasonable period (e.g., a few weeks to three months) in colder temperatures (e.g., <12 °C) would be beneficial to mitigate potential adverse impacts from inflammation at the incision. © 2017 The Author(s).","Acoustic telemetry; Tagging effects; Walleye",
"Crossin G.T., Heupel M.R., Holbrook C.M., Hussey N.E., Lowerre-Barbieri S.K., Nguyen V.M., Raby G.D., Cooke S.J.","Acoustic telemetry and fisheries management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020162645&doi=10.1002%2feap.1533&partnerID=40&md5=3afb7d151293ec49cf91144bab7eb24e","This paper reviews the use of acoustic telemetry as a tool for addressing issues in fisheries management, and serves as the lead to the special Feature Issue of Ecological Applications titled Acoustic Telemetry and Fisheries Management. Specifically, we provide an overview of the ways in which acoustic telemetry can be used to inform issues central to the ecology, conservation, and management of exploited and/or imperiled fish species. Despite great strides in this area in recent years, there are comparatively few examples where data have been applied directly to influence fisheries management and policy. We review the literature on this issue, identify the strengths and weaknesses of work done to date, and highlight knowledge gaps and difficulties in applying empirical fish telemetry studies to fisheries policy and practice. We then highlight the key areas of management and policy addressed, as well as the challenges that needed to be overcome to do this. We conclude with a set of recommendations about how researchers can, in consultation with stock assessment scientists and managers, formulate testable scientific questions to address and design future studies to generate data that can be used in a meaningful way by fisheries management and conservation practitioners. We also urge the involvement of relevant stakeholders (managers, fishers, conservation societies, etc.) early on in the process (i.e., in the co-creation of research projects), so that all priority questions and issues can be addressed effectively. © 2017 by the Ecological Society of America.","acoustic telemetry; applied science; conservation; fish tracking; fisheries biology; policy; resource management",
"Ruiz-Rodriguez M., Møller A.P., Mousseau T.A., Soler J.J.","Capacity of blood plasma is higher in birds breeding in radioactively contaminated areas","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021683328&doi=10.1371%2fjournal.pone.0179209&partnerID=40&md5=b092c9ac4277af62ac772ce449a564a8","Background Environmental pollution in general, and radioactive contamination in particular, may deeply affect host-parasite relationships and their consequences for the evolution of organisms. The nuclear accident that occurred more than 30 years ago in Chernobyl resulted in significant changes in diversity and richness of microbial communities that could influence characteristics of animal-bacteria interactions, including host immune responses and competitive interference by bacteria. Given the high mortality rate of birds breeding in radioactively contaminated zones, those with stronger defences against infections should experience significant fitness advantages. Methodology/Principal Findings Here we characterized antimicrobial capacity of barn swallows (Hirundo rustica) from different Ukrainian populations (subject to a gradient of ionizing radiation) against 12 bacterial species. We also quantified constitutive innate immunity, which is the non-specific first barrier of protection of hosts against microbial parasites. We found a positive association between specific antimicrobial capacity of individual hosts and radiation levels in breeding habitats even after controlling for other confounding variables such as sex and age. However, no significant relationship was found between immunocompetence (non-specific response) and background radiation. Conclusions/Significance These results suggest that radiation selects for broad antimicrobial spectra of barn swallows, although not for all bacterial strains. We discuss these results in the framework of host-parasite evolution under extreme environmental conditions. © 2017 Ruiz-Rodriguez et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"age; antimicrobial activity; Article; barn swallow; bird; blood plasma capacity; breeding; ethnic group; immunocompetence; innate immunity; ionizing radiation; mortality; nonhuman; plasma; protection; radiation dose; radiation level; radioactive contamination; sex; species difference; species habitat; Ukraine; Ukrainian"
"Møller A.P., Rubolini D., Saino N.","Morphological constraints on changing avian migration phenology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018787594&doi=10.1111%2fjeb.13086&partnerID=40&md5=c7a34b6bdfb2dd74ba7f2391b386f682","Many organisms at northern latitudes have responded to climate warming by advancing their spring phenology. Birds are known to show earlier timing of spring migration and reproduction in response to warmer springs. However, species show heterogeneous phenological responses to climate warming, with those that have not advanced or have delayed migration phenology experiencing population declines. Although some traits (such as migration distance) partly explain heterogeneity in phenological responses, the factors affecting interspecies differences in the responsiveness to climate warming have yet to be fully explored. In this comparative study, we investigate whether variation in wing aspect ratio (reflecting relative wing narrowness), an ecomorphological trait that is strongly associated with flight efficiency and migratory behaviour, affects the ability to advance timing of spring migration during 1960–2006 in a set of 80 European migratory bird species. Species with larger aspect ratio (longer and narrower wings) showed smaller advancement of timing of spring migration compared to species with smaller aspect ratio (shorter and wider wings) while controlling for phylogeny, migration distance and other life-history traits. In turn, migration distance positively predicted aspect ratio across species. Hence, species that are better adapted to migration appear to be more constrained in responding phenologically to rapid climate warming by advancing timing of spring migration. Our findings corroborate the idea that aspect ratio is a major evolutionary correlate of migration, and suggest that selection for energetically efficient flights, as reflected by high aspect ratio, may hinder phenotypically plastic/microevolutionary adjustments of migration phenology to ongoing climatic changes. © 2017 European Society For Evolutionary Biology. Journal of Evolutionary Biology © 2017 European Society For Evolutionary Biology","aspect ratio; bird migration; climate change response; ecomorphology; phenology","Aves"
"Messmer V., Pratchett M.S., Hoey A.S., Tobin A.J., Coker D.J., Cooke S.J., Clark T.D.","Global warming may disproportionately affect larger adults in a predatory coral reef fish","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018388989&doi=10.1111%2fgcb.13552&partnerID=40&md5=fe88fbc1115c382e848ad302250e20ce","Global warming is expected to reduce body sizes of ectothermic animals. Although the underlying mechanisms of size reductions remain poorly understood, effects appear stronger at latitudinal extremes (poles and tropics) and in aquatic rather than terrestrial systems. To shed light on this phenomenon, we examined the size dependence of critical thermal maxima (CTmax) and aerobic metabolism in a commercially important tropical reef fish, the leopard coral grouper (Plectropomus leopardus) following acclimation to current-day (28.5 °C) vs. projected end-of-century (33 °C) summer temperatures for the northern Great Barrier Reef (GBR). CTmax declined from 38.3 to 37.5 °C with increasing body mass in adult fish (0.45–2.82 kg), indicating that larger individuals are more thermally sensitive than smaller conspecifics. This may be explained by a restricted capacity for large fish to increase mass-specific maximum metabolic rate (MMR) at 33 °C compared with 28.5 °C. Indeed, temperature influenced the relationship between metabolism and body mass (0.02–2.38 kg), whereby the scaling exponent for MMR increased from 0.74 ± 0.02 at 28.5 °C to 0.79 ± 0.01 at 33 °C, and the corresponding exponents for standard metabolic rate (SMR) were 0.75 ± 0.04 and 0.80 ± 0.03. The increase in metabolic scaling exponents at higher temperatures suggests that energy budgets may be disproportionately impacted in larger fish and contribute to reduced maximum adult size. Such climate-induced reductions in body size would have important ramifications for fisheries productivity, but are also likely to have knock-on effects for trophodynamics and functioning of ecosystems. © 2016 John Wiley & Sons Ltd","body size; climate change; critical thermal maximum; Great Barrier Reef; metabolic rate; Plectropomus leopardus; thermal tolerance","Animalia; Anthozoa; Epinephelinae; Panthera pardus; Plectropomus leopardus"
