Authors,Title,Link,Abstract,Author Keywords
"Vøls K.K., Heden M.A., Kristensen A.T., Sandøe P.","Quality of life assessment in dogs and cats receiving chemotherapy – a review of current methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026899156&doi=10.1111%2fvco.12242&partnerID=40&md5=0a9169a8a9131422a2ac03814983e5ba","This study aimed to review currently reported methods of assessing the effects of chemotherapy on the quality of life (QoL) of canine and feline patients and to explore novel ways to assess QoL in such patients in the light of the experience to date in human pediatric oncology. A qualitative comparative analysis of published papers on the effects of chemotherapy on QoL in dogs and cats were conducted. This was supplemented with a comparison of the parameters and domains used in veterinary QoL-assessments with those used in the Pediatric Quality of Life Inventory (PedsQL™) questionnaire designed to assess QoL in toddlers. Each of the identified publications including QoL-assessment in dogs and cats receiving chemotherapy applied a different method of QoL-assessment. In addition, the veterinary QoL-assessments were mainly focused on physical clinical parameters, whereas the emotional (6/11), social (4/11) and role (4/11) domains were less represented. QoL-assessment of cats and dogs receiving chemotherapy is in its infancy. The most commonly reported method to assess QoL was questionnaire based and mostly included physical and clinical parameters. Standardizing and including a complete range of potentially relevant parameters in future QoL assessments may benefit owner decision making. © 2016 John Wiley & Sons Ltd","chemotherapy; comparative oncology; oncology; small animal; small animal internal medicine"
"Crossley V.J., Debnath A., Chang Y.M., Fowkes R.C., Elliott J., Syme H.M.","Breed, Coat Color, and Hair Length as Risk Factors for Hyperthyroidism in Cats","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020388529&doi=10.1111%2fjvim.14737&partnerID=40&md5=777b40574977d04050086354a61e119e","Background: Hyperthyroidism is very common in older cats, but the etiopathogenesis is poorly understood. Decreased risk of hyperthyroidism has been reported in certain colorpoint breeds, and this observation previously has been hypothesized to result from relatively greater tyrosine availability for thyroid hormone production because of limited ability to convert tyrosine to melanin pigment. However, studies investigating a potential link between coat pigmentation and risk of hyperthyroidism are limited. Objective: To identify associations between coat phenotype and hyperthyroidism by investigation of breed, coat color, and hair length as risk factors for the disease. Animals: Data were used from 4,705 cats aged ≥10 years, referred to a single veterinary teaching hospital (2006–2014) in the United Kingdom. Methods: Retrospective, epidemiological, cross-sectional study using Bayesian multivariable logistic regression to assess risk factors for hyperthyroidism. Results: Burmese (odds ratio [OR], 0.01; 0.00–0.23; P =.004), Tonkinese (OR, 0.05; 0.00–0.95; P =.046), Persian (OR, 0.21; 0.10–0.44; P <.001), Siamese (OR, 0.27; 0.12–0.61; P =.002), Abyssinian (OR, 0.04; 0.00–0.74; P =.031), and British shorthair (OR, 0.47; 0.28–0.79; P =.004) breeds had decreased risk of hyperthyroidism compared to domestic shorthairs. Longhaired, nonpurebred cats (OR, 1.30; 1.03–1.64; P =.028) were at increased risk of hyperthyroidism. Coat color/pattern was not associated with hyperthyroidism in nonpurebred cats. Conclusions and Clinical Importance: We identified decreased risk of hyperthyroidism in the Tonkinese, Abyssinian, and British shorthair breeds, identified an association between risk of hyperthyroidism and hair length, and confirmed decreased risk in Burmese, Siamese, and Persian breeds. Additional studies are warranted to further investigate these findings. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Cat; Pigment; Tyrosinase; Tyrosine"
"Charalambous M., Bhatti S.F.M., Van Ham L., Platt S., Jeffery N.D., Tipold A., Siedenburg J., Volk H.A., Hasegawa D., Gallucci A., Gandini G., Musteata M., Ives E., Vanhaesebrouck A.E.","Intranasal Midazolam versus Rectal Diazepam for the Management of Canine Status Epilepticus: A Multicenter Randomized Parallel-Group Clinical Trial","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019942872&doi=10.1111%2fjvim.14734&partnerID=40&md5=cdcd1fb13d8ce332d9bf4684761f3784","Background: Intranasal administration of benzodiazepines has shown superiority over rectal administration for terminating emergency epileptic seizures in human trials. No such clinical trials have been performed in dogs. Objective: To evaluate the clinical efficacy of intranasal midazolam (IN-MDZ), via a mucosal atomization device, as a first-line management option for canine status epilepticus and compare it to rectal administration of diazepam (R-DZP) for controlling status epilepticus before intravenous access is available. Animals: Client-owned dogs with idiopathic or structural epilepsy manifesting status epilepticus within a hospital environment were used. Dogs were randomly allocated to treatment with IN-MDZ (n = 20) or R-DZP (n = 15). Methods: Randomized parallel-group clinical trial. Seizure cessation time and adverse effects were recorded. For each dog, treatment was considered successful if the seizure ceased within 5 minutes and did not recur within 10 minutes after administration. The 95% confidence interval was used to detect the true population of dogs that were successfully treated. The Fisher's 2-tailed exact test was used to compare the 2 groups, and the results were considered statistically significant if P <.05. Results: IN-MDZ and R-DZP terminated status epilepticus in 70% (14/20) and 20% (3/15) of cases, respectively (P =.0059). All dogs showed sedation and ataxia. Conclusions and Clinical Importance: IN-MDZ is a quick, safe and effective first-line medication for controlling status epilepticus in dogs and appears superior to R-DZP. IN-MDZ might be a valuable treatment option when intravenous access is not available and for treatment of status epilepticus in dogs at home. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Benzodiazepine; Dog; Emergency; Epileptic seizures"
"Park S., Kittleson M.D., Yu D., Choi J.","Echocardiographic Features of Giant Right Atrial Diverticulum in a Dog","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018984350&doi=10.1111%2fjvim.14712&partnerID=40&md5=051731cd9ffa21ccde5a901c0a89dafe","A 12-year-old spayed female miniature Poodle presented for coughing, respiratory distress, and anorexia. After thoracentesis for pleural effusion, radiography revealed an enlarged cardiac silhouette with a bulge in the area of the body of the right atrium. Echocardiography revealed an anechoic chamber-like cavity lateral to the right atrium that communicated with the right atrium through a 13 mm defect in the right atrial free wall. Contrast echocardiography and color flow Doppler were used to prove that the cavity communicated with the right atrium. The cavity was diagnosed as a giant right atrial diverticulum. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Atrium; Bubble; Canine; Diverticula"
"Fenn J., Laber E., Williams K., Rousse C.A., Early P.J., Mariani C.L., Muñana K.R., De Decker S., Volk H.A., Olby N.J.","Associations Between Anesthetic Variables and Functional Outcome in Dogs With Thoracolumbar Intervertebral Disk Extrusion Undergoing Decompressive Hemilaminectomy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015159543&doi=10.1111%2fjvim.14677&partnerID=40&md5=ee088be2e29ea83b2d7fd6ccd18905e2","Background: Outcome of acute experimental spinal cord injury is strongly associated with tissue perfusion and oxygenation. Cardiopulmonary depression could affect outcome in dogs undergoing general anesthesia for surgical treatment of thoracolumbar intervertebral disk extrusion (IVDE). Hypothesis/Objectives: To evaluate the effects of general anesthesia on functional outcome in dogs undergoing surgery to treat thoracolumbar IVDE. Animals: Eighty-four client-owned dogs with acute thoracolumbar IVDE treated by decompressive hemilaminectomy. Methods: Exploratory, retrospective observational study. Medical records were reviewed for clinical presentation and anesthetic monitoring variables, including duration of anesthesia and surgery, hypotension, bradycardia, temperature, and respiratory parameters. Multivariable regression tree analysis was performed to explore associations between anesthetic variables and functional outcome scores after 6 weeks, as well as return to ambulatory status. Results: Episodes of bradycardia (69%) and hypotension (57%) were frequent. Across all outcome measures, regression tree analysis highlighted functional grade at presentation as the primary determining factor, and among pain perception negative dogs, there was a possible association between increased duration of surgery and poorer outcome. In dogs with intact pain perception, duration of bradycardia, mean body temperature, and mean end-tidal carbon dioxide were highlighted. Conclusions and Clinical Importance: Exploratory statistical methods can facilitate hypothesis-generating studies to inform prospective investigations in veterinary medicine. Although the mechanism is uncertain, increased duration of surgery might be associated with poorer outcome in pain perception negative dogs with thoracolumbar IVDE. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Anesthesia; Canine; Intervertebral disk extrusion; Prognosis; Spinal cord injury"
"Mauler D.A., De Decker S., De Risio L., Volk H.A., Dennis R., Gielen I., Van der Vekens E., Goethals K., Van Ham L.","Spinal Arachnoid Diverticula: Outcome in 96 Medically or Surgically Treated Dogs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018596262&doi=10.1111%2fjvim.14714&partnerID=40&md5=3e62fb195ad18c62d3256d305cd3e40a","Background: Little is reported about the role of medical management in the treatment of spinal arachnoid diverticula (SAD) in dogs. Objectives: To describe the outcome of 96 dogs treated medically or surgically for SAD. Animals: Ninety-six dogs with SAD. Methods: Retrospective case series. Medical records were searched for spinal arachnoid diverticula and all dogs with information on treatment were included. Outcome was assessed with a standardized questionnaire. Results: Fifty dogs were managed medically and 46 dogs were treated surgically. Dogs that underwent surgery were significantly younger than dogs that received medical management. No other variables, related to clinical presentation, were significantly different between both groups of dogs. The median follow-up time was 16 months (1–90 months) in the medically treated and 23 months (1–94 months) in the surgically treated group. Of the 38 dogs treated surgically with available long-term follow-up, 82% (n = 31) improved, 3% (n = 1) remained stable and 16% (n = 6) deteriorated after surgery. Of the 37 dogs treated medically with available long-term follow-up, 30% (n = 11) improved, 30% (n = 11) remained stable, and 40% (n = 15) deteriorated. Surgical treatment was more often associated with clinical improvement compared to medical management (P =.0002). Conclusions and Clinical Importance: The results of this study suggest that surgical treatment might be superior to medical treatment in the management of SAD in dogs. Further studies with standardized patient care are warranted. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Arachnoid cyst; Spinal cord; subarachnoid cyst"
"Johnson C.M., Kass P.H., Cohen T.A., Feldman E.C.","Effect of Intravenous or Perivascular Injection of Synthetic Adrenocorticotropic Hormone on Stimulation Test Results in Dogs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017567016&doi=10.1111%2fjvim.14708&partnerID=40&md5=824ccf5a27cb651290b10ec201fdb79c","Background: Standard protocols for adrenocorticotropic hormone (ACTH) stimulation testing (ACTHst) often involve intravenous (IV) injection of corticotropin. ACTH might be unintentionally injected into the perivascular (PV) space. Objective: To compare stimulation test results after IV and PV injections of ACTH. Animals: Twenty privately owned dogs were studied: 10 healthy and 10 with trilostane-treated naturally occurring hyperadrenocorticism (HAC). Methods: Prospective study. Each of 20 dogs underwent 2 ACTHst not <4 nor more than 14 days apart. Five healthy and 5 HAC dogs had an IV ACTHst first and PV second; 5 healthy and 5 HAC dogs had a PV ACTHst first and IV second. Blood samples for measurement of serum cortisol concentration were collected before and 1 hour after ACTH administration. Results: No significant difference in results was demonstrated when comparing serum cortisol concentrations after IV and PV ACTH administration in all 20 dogs (median μg/dL; interval μg/dL: 8.2; 1.4–17.4 versus 7.8; 0.9–16.9; P =.23). No significant difference in results was demonstrated when comparing serum cortisol concentrations after IV and PV ACTH administration in the 10 healthy dogs (median μg/dL; interval μg/dL: 10.9; 7.3–17.4 versus 10.6; 7.1–16.9; P =.54) or in the 10 HAC dogs (median μg/dL; interval μg/dL: 6.3; 1.4–8.6 versus 5.2; 0.9–8.7; P =.061). Conclusions and Clinical Importance: Perivascular administration of ACTH does not significantly alter stimulation test results in healthy dogs or in dogs with HAC undergoing therapy with trilostane. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Adrenal; Endocrinology; Hyperadrenocorticism; Pituitary; Trilostane"
"Bijsmans E.S., Jepson R.E., Wheeler C., Syme H.M., Elliott J.","Plasma N-Terminal Probrain Natriuretic Peptide, Vascular Endothelial Growth Factor, and Cardiac Troponin I as Novel Biomarkers of Hypertensive Disease and Target Organ Damage in Cats","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017545600&doi=10.1111%2fjvim.14655&partnerID=40&md5=0efde8e64697fb677ed1ac4bd2f697b8","Background: In the absence of ocular target organ damage (ocular-TOD), diagnosis of hypertension is challenging in cats. Biomarkers would provide additional support for the diagnosis of hypertension. Hypothesis: Vascular endothelial growth factor (VEGF), N-terminal probrain natriuretic peptide (NT-proBNP), cardiac troponin I (cTnI), and urine protein-to-creatinine ratio (UPC) are predictors of systemic hypertension, will be increased in cats with hypertension with or without ocular-TOD, and will decrease with antihypertensive treatment. Methods: Plasma VEGF, NT-proBNP, and cTnI concentrations and UPC were determined in healthy geriatric cats, normotensive cats with chronic kidney disease (CKD), hypertensive cats with evidence of hypertensive retinopathy (HT-ocular-TOD), and hypertensive cats without hypertensive ocular-TOD (HT-noTOD). Comparisons among groups were performed. Multivariable binary logistic regression models were built to identify independent biomarkers of hypertension and ocular-TOD. Receiver operator characteristic (ROC) curves were drawn to assess clinical use. Results: Cats with HT-ocular-TOD had significantly higher VEGF than all other groups (P <.05) and significantly higher NT-proBNP than healthy cats (P <.001). Healthy cats had significantly lower cTnI than all other groups (P <.05). No differences were found among groups for UPC (P =.08). Cardiac troponin I and VEGF were independent predictors of hypertension (P <.05), but none of the biomarkers were independent predictors of ocular-TOD. N-terminal probrain natriuretic peptide concentrations decreased with antihypertensive treatment (P <.001). The ROC curves indicated that none of the biomarkers met the criteria to function as diagnostic tests for the diagnosis of hypertension or associated ocular-TOD. Conclusions and Clinical Significance: Despite statistical significance and changes with ocular-TOD, antihypertensive treatment, or both, VEGF, NT-proBNP, and cTnI did not function as useful diagnostic tests for hypertension. Persistently increased systolic blood pressure (SBP) measurements in combination with fundoscopy remains the preferred method for diagnosis of feline hypertension. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Chronic kidney disease; Hypertension"
"Tanaka A., Martinez-Lopez B., Kass P.","Epidemiological evaluation of cats rescued at a secondary emergency animal shelter in Miharu, Fukushima, after the Great East Japan Earthquakes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012280188&doi=10.1016%2fj.prevetmed.2017.01.013&partnerID=40&md5=5a189651954454c5d6ff5bc3c6b88953","The aims of this research were to report characteristics of rescued cats at a secondary emergency animal shelter in Fukushima prefecture, Japan, and evaluate how adoptability, stress level, upper respiratory infection (URI) syndrome incidence, and URI pathogen prevalence were associated with the cat's shelter intake source and shelter characteristics. All cats admitted to the Miharu shelter, Fukushima Prefecture from 2012 to 2014 were included in the study. The results demonstrate that in situ corticosteroid and antibiotic use were associated with cats subsequently developing upper respiratory infections (URI). Disease and cat behavior were unassociated with adoption. Cats in group housing had lower stress metrics than cats individually housed. Prevalences of URI pathogens exceeded 80%, but symptomatic cats were uncommon. Environmental enrichment and stress reduction strategies are important in controlling URI and reducing the need for corticosteroids and antibiotics in shelters. Preemptive protocols are important in preventing shelter admission of cats during disasters. © 2017 Elsevier B.V.","Animal shelter; Disaster veterinary medicine; Feline upper respiratory disease; Stress"
"Kittleson M.D., Fox P.R., Basso C., Thiene G.","Naturally Occurring Biventricular Noncompaction in an Adult Domestic Cat","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013213175&doi=10.1111%2fjvim.14663&partnerID=40&md5=e250fe9f87462b8d074c7507964c9be6","A definitively diagnosed case of left ventricular noncompaction (LVNC) has not been previously reported in a non-human species. We describe a Maine Coon cross cat with echocardiographically and pathologically documented LVNC. The cat was from a research colony and was heterozygous for the cardiac myosin binding protein C mutation associated with hypertrophic cardiomyopathy (HCM) in Maine Coon cats (A31P). The cat had had echocardiographic examinations performed every 6 months until 6 years of age at which time the cat died of an unrelated cause. Echocardiographic findings consistent with LVNC (moth-eaten appearance to the inner wall of the mid- to apical region of the left ventricle (LV) in cross section and trabeculations of the inner LV wall that communicated with the LV chamber) first were identified at 2 years of age. At necropsy, pathologic findings of LVNC were verified and included the presence of noncompacted myocardium that consisted of endothelial-lined trabeculations and sinusoids that constituted more than half of the inner part of the LV wall. The right ventricular (RV) wall also was affected. Histopathology identified myofiber disarray, which is characteristic of HCM, although heart weight was normal and LV wall thickness was not increased. Copyright © 2017 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.","Cardiomyopathy; Echocardiography; Feline; Hypertrabeculation; Left Ventricle; Noncompaction"
